HOLE:	1230A
LEG:	201
TOP:	87.0199
BOTTOM:	266.3947
DEPTH_WMSF	CALI
m	in
87.0199	7.3430
87.1723	9.0230
87.3247	10.7985
87.4771	12.6617
87.6295	14.5453
87.7819	16.5224
87.9343	18.1235
88.0867	18.2510
88.2391	18.2627
88.3915	18.2487
88.5439	18.2502
88.6963	18.2503
88.8487	18.2621
89.0011	18.2471
89.1535	18.2503
89.3059	18.2602
89.4583	18.2562
89.6107	18.2666
89.7631	18.2520
89.9155	18.2727
90.0679	18.2600
90.2203	18.2645
90.3727	18.2628
90.5251	18.2572
90.6775	18.2679
90.8299	18.2581
90.9823	18.2608
91.1347	18.2593
91.2871	18.1994
91.4395	18.0901
91.5919	17.5803
91.7443	17.3688
91.8967	17.3429
92.0491	17.3307
92.2015	17.3291
92.3539	17.3124
92.5063	17.2564
92.6587	17.2437
92.8111	17.2378
92.9635	17.2398
93.1159	17.1542
93.2683	17.0330
93.4207	16.9677
93.5731	16.9304
93.7255	16.9329
93.8779	16.7850
94.0303	16.6252
94.1827	16.5406
94.3351	16.5148
94.4875	16.4565
94.6399	16.4374
94.7923	16.4125
94.9447	16.2276
95.0971	16.0054
95.2495	15.9857
95.4019	15.9867
95.5543	15.9850
95.7067	15.9860
95.8591	15.9857
96.0115	15.9819
96.1639	15.9956
96.3163	15.9838
96.4687	15.9848
96.6211	15.9789
96.7735	15.9917
96.9259	16.0511
97.0783	16.5683
97.2307	17.3564
97.3831	17.6662
97.5355	17.7984
97.6879	17.7899
97.8403	17.8016
97.9927	17.7881
98.1451	17.6330
98.2975	17.5896
98.4499	17.8369
98.6023	17.8407
98.7547	17.8397
98.9071	17.8110
99.0595	17.2372
99.2119	17.6584
99.3643	17.9586
99.5167	17.8698
99.6691	18.1706
99.8215	18.2097
99.9739	18.2071
100.1263	18.2026
100.2787	18.1994
100.4311	18.2128
100.5835	18.1997
100.7359	18.2113
100.8883	18.2062
101.0407	18.1925
101.1931	18.1051
101.3455	17.7458
101.4979	17.7063
101.6503	17.6934
101.8027	17.5718
101.9551	16.6248
102.1075	15.5566
102.2599	15.4917
102.4123	15.3821
102.5647	15.2132
102.7171	15.2117
102.8695	15.1804
103.0219	15.0578
103.1743	15.0365
103.3267	15.0173
103.4791	14.9373
103.6315	14.9398
103.7839	14.8118
103.9363	14.6592
104.0887	14.5573
104.2411	14.4980
104.3935	14.4117
104.5459	14.3229
104.6983	14.3183
104.8507	14.3162
105.0031	14.3238
105.1555	14.3183
105.3079	14.3119
105.4603	14.3198
105.6127	14.3195
105.7651	14.3280
105.9175	14.4157
106.0699	14.4294
106.2223	14.4954
106.3747	14.5287
106.5271	14.4235
106.6795	14.3831
106.8319	14.3926
106.9843	14.3836
