HOLE:	1230A
LEG:	201
TOP:	79.0956
BOTTOM:	261.9756
DEPTH_WMSF	DTCO	DT2	DTST	VCO	VS2	VST
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
79.0956	163.9048	231.1907	219.1234	1.8596	1.3184	1.3910
79.2480	164.6373	322.1552	219.1234	1.8514	0.9461	1.3910
79.4004	159.8126	543.1717	219.1234	1.9073	0.5612	1.3910
79.5528	154.9880	543.1717	219.1234	1.9666	0.5612	1.3910
79.7052	150.1634	574.0332	245.9563	2.0298	0.5310	1.2393
79.8576	145.3388	574.0332	264.4141	2.0972	0.5310	1.1528
80.0100	135.9943	574.0332	282.8719	2.2413	0.5310	1.0775
80.1624	135.0864	598.4362	294.0178	2.2564	0.5093	1.0367
80.3148	132.7809	604.8317	305.1637	2.2955	0.5039	0.9988
80.4672	162.3916	611.2272	327.4555	1.8770	0.4987	0.9308
80.6196	170.0433	624.0184	327.4555	1.7925	0.4885	0.9308
80.7720	171.4629	568.0926	268.4888	1.7777	0.5365	1.1353
80.9244	172.8825	612.1244	268.4888	1.7631	0.4979	1.1353
81.0768	168.0701	664.9297	187.9227	1.8136	0.4584	1.6220
81.2292	163.2576	717.7350	187.4357	1.8670	0.4247	1.6262
81.3816	-999.2500	706.7891	189.8029	-999.2500	0.4313	1.6059
81.5340	-999.2500	684.8971	189.8029	-999.2500	0.4450	1.6059
81.6864	164.3326	693.2124	234.7743	1.8548	0.4397	1.2983
81.8388	164.6909	693.2124	234.7743	1.8508	0.4397	1.2983
81.9912	165.0493	637.9542	186.6892	1.8467	0.4778	1.6327
82.1436	165.4076	637.9542	199.9848	1.8427	0.4778	1.5241
82.2960	165.7659	653.1636	189.9691	1.8388	0.4667	1.6045
82.4484	168.1066	633.5726	183.8031	1.8132	0.4811	1.6583
82.6008	169.3597	629.1910	189.1071	1.7997	0.4844	1.6118
82.7532	168.4702	601.2117	189.1407	1.8092	0.5070	1.6115
82.9056	167.5807	601.2117	191.9807	1.8188	0.5070	1.5877
83.0580	166.6911	597.0452	180.9292	1.8286	0.5105	1.6847
83.2104	165.8016	597.0452	185.2128	1.8384	0.5105	1.6457
83.3628	164.9120	597.0452	185.2128	1.8483	0.5105	1.6457
83.5152	164.0225	727.3327	185.5945	1.8583	0.4191	1.6423
83.6676	163.5025	727.3327	189.1970	1.8642	0.4191	1.6110
83.8200	147.5356	727.3327	193.7019	2.0660	0.4191	1.5736
83.9724	146.9302	655.5649	186.3055	2.0745	0.4649	1.6360
84.1248	146.3249	743.8754	186.3055	2.0831	0.4098	1.6360
84.2772	145.7195	743.8754	187.4777	2.0917	0.4098	1.6258
84.4296	152.7950	743.8754	191.6811	1.9949	0.4098	1.5902
84.5820	159.8705	639.6185	184.1109	1.9066	0.4765	1.6555
84.7344	160.3987	639.6185	185.5432	1.9003	0.4765	1.6428
84.8868	160.9269	639.6185	206.6041	1.8941	0.4765	1.4753
85.0392	154.9078	676.2412	203.5043	1.9676	0.4507	1.4978
85.1916	148.8887	676.2412	182.9326	2.0472	0.4507	1.6662
85.3440	142.8695	676.2412	182.0916	2.1334	0.4507	1.6739
85.4964	136.8504	676.2412	193.9456	2.2273	0.4507	1.5716
85.6488	130.8313	705.6686	240.9481	2.3297	0.4319	1.2650
85.8012	130.5076	705.6686	185.4687	2.3355	0.4319	1.6434
85.9536	130.1839	705.6686	194.1038	2.3413	0.4319	1.5703
86.1060	135.5556	705.1544	183.0835	2.2486	0.4323	1.6648
86.2584	140.9274	702.8113	184.6246	2.1628	0.4337	1.6509
86.4108	146.2991	701.7847	184.6246	2.0834	0.4343	1.6509
86.5632	151.6709	700.2449	251.2034	2.0096	0.4353	1.2134
86.7156	157.0426	699.7316	251.2034	1.9409	0.4356	1.2134
