HOLE:	1230A
LEG:	201
TOP:	81.0763
BOTTOM:	279.9583
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
81.0763	0.3059	0.5057	0.7517
81.2287	0.3422	0.4213	0.7062
81.3811	0.3825	0.4112	0.7352
81.5335	0.4279	0.4509	0.9640
81.6859	0.4968	0.5393	0.9633
81.8383	1.4626	0.6840	1.0389
81.9907	0.9065	0.8588	1.0244
82.1431	0.9025	0.9533	0.9814
82.2955	0.8809	0.8961	0.9313
82.4479	0.8430	0.7785	0.8856
82.6003	0.8082	0.6887	0.8468
82.7527	0.7758	0.6556	0.7582
82.9051	0.7678	0.6844	0.7499
83.0575	0.7794	0.7662	0.7587
83.2099	0.8004	0.8697	0.7914
83.3623	0.8175	0.9376	0.7914
83.5147	0.8353	0.9341	0.7798
83.6671	0.8445	0.8895	0.7387
83.8195	0.8496	0.8526	0.7217
83.9719	0.8603	0.8462	0.7220
84.1243	0.8425	0.8769	0.7004
84.2767	0.8890	0.9500	0.6808
84.4291	0.9630	1.0681	0.6891
84.5815	0.9622	1.2213	0.6971
84.7339	1.0425	1.3726	0.9518
84.8863	1.1918	1.4578	1.3168
85.0387	1.2343	1.4446	1.1143
85.1911	1.2570	1.3741	1.3463
85.3435	1.2723	1.2999	1.1568
85.4959	1.2667	1.2410	1.2196
85.6483	1.2450	1.1873	1.0224
85.8007	1.2311	1.1198	0.7959
85.9531	1.1426	1.0345	0.7826
86.1055	1.0300	0.9494	0.7819
86.2579	1.0307	0.8859	0.7774
86.4103	0.9531	0.8538	0.7657
86.5627	0.8947	0.8492	0.7611
86.7151	0.8916	0.8596	0.7644
86.8675	0.8644	0.8715	0.7498
87.0199	0.8629	0.8769	0.7555
87.1723	0.8671	0.8740	0.7535
87.3247	0.8986	0.8664	0.7633
87.4771	0.9471	0.8605	0.7650
87.6295	0.9724	0.8622	0.7667
87.7819	1.0131	0.8756	0.7787
87.9343	1.0368	0.9031	0.8047
88.0867	1.0474	0.9433	0.8189
88.2391	1.0719	0.9881	0.8862
88.3915	1.0981	1.0248	0.8548
88.5439	1.1042	1.0419	0.8413
88.6963	1.1076	1.0364	0.9206
88.8487	1.0877	1.0163	0.9503
89.0011	1.0700	0.9919	0.9501
89.1535	1.0663	0.9690	0.9281
89.3059	1.0444	0.9497	0.8505
89.4583	1.0351	0.9340	0.8526
89.6107	1.0316	0.9206	0.8317
89.7631	1.0016	0.9087	0.7613
89.9155	0.9782	0.8986	0.7435
90.0679	0.9597	0.8900	0.7426
90.2203	0.9370	0.8829	0.7529
90.3727	0.9298	0.8786	0.7544
90.5251	0.9264	0.8787	0.7509
90.6775	0.9285	0.8841	0.7604
90.8299	0.9321	0.8959	0.7488
90.9823	0.9340	0.9148	0.7505
91.1347	0.9350	0.9379	0.7753
91.2871	0.9367	0.9584	0.8051
91.4395	0.9363	0.9694	0.8231
91.5919	0.9361	0.9690	0.8622
91.7443	0.9402	0.9614	0.8503
91.8967	0.9382	0.9538	0.8382
92.0491	0.9381	0.9516	0.8251
92.2015	0.9208	0.9548	0.8113
92.3539	0.9088	0.9595	0.8281
92.5063	0.9067	0.9601	0.8577
92.6587	0.9041	0.9537	0.8278
92.8111	0.9027	0.9413	0.8317
92.9635	0.8963	0.9272	0.8270
93.1159	0.8930	0.9161	0.8326
93.2683	0.8927	0.9104	0.8106
93.4207	0.8925	0.9096	0.8082
93.5731	0.8925	0.9119	0.8101
93.7255	0.8941	0.9160	0.8131
93.8779	0.9001	0.9217	0.8251
94.0303	0.9030	0.9290	0.8253
94.1827	0.9061	0.9371	0.8244
94.3351	0.9251	0.9445	0.8307
94.4875	0.9331	0.9499	0.8454
94.6399	0.9326	0.9534	0.8608
94.7923	0.9396	0.9564	0.8663
94.9447	0.9432	0.9601	0.8659
95.0971	0.9457	0.9645	0.8686
95.2495	0.9484	0.9689	0.8781
95.4019	0.9511	0.9729	0.8817
95.5543	0.9539	0.9765	0.8766
95.7067	0.9570	0.9814	0.8848
95.8591	0.9621	0.9892	0.8901
96.0115	0.9648	0.9995	0.8855
96.1639	0.9699	1.0106	0.8886
96.3163	0.9760	1.0199	0.8986
96.4687	0.9755	1.0249	0.9054
96.6211	0.9837	1.0264	0.9027
96.7735	0.9979	1.0277	0.9086
96.9259	0.9943	1.0307	0.9110
97.0783	1.0012	1.0358	0.9148
97.2307	1.0032	1.0429	0.9083
97.3831	0.9990	1.0488	0.9205
97.5355	0.9832	1.0466	0.8856
97.6879	0.9761	1.0310	0.9197
97.8403	0.9526	1.0034	0.8844
97.9927	0.9314	0.9697	0.8872
98.1451	0.9189	0.9377	0.8648
98.2975	0.9053	0.9142	0.7931
98.4499	0.8972	0.9018	0.7575
98.6023	0.8799	0.8999	0.7571
98.7547	0.8677	0.9043	0.8188
98.9071	0.8648	0.9076	0.9254
99.0595	0.8656	0.9018	0.9035
99.2119	0.8541	0.8861	0.7732
99.3643	0.8455	0.8673	0.7522
99.5167	0.8382	0.8525	0.7420
99.6691	0.8327	0.8444	0.7566
99.8215	0.8319	0.8415	0.7559
99.9739	0.8307	0.8411	0.7551
100.1263	0.8304	0.8420	0.7505
100.2787	0.8317	0.8448	0.7524
100.4311	0.8312	0.8498	0.7596
100.5835	0.8319	0.8560	0.7680
