HOLE:	1230A
LEG:	201
TOP:	75.5904
BOTTOM:	273.8628
DEPTH_WMSF	SGR	CGR	POTA	THOR	URAN	
m	gAPI	gAPI	%	ppm	ppm	
75.5904	20.3042	5.8356	0.1055	1.1856	1.6346
75.7428	17.7833	4.9915	0.0932	0.9992	1.4451
75.8952	18.3477	4.7466	0.0860	0.9636	1.5365
76.0476	19.4472	4.7735	0.0784	1.0095	1.6577
76.2000	19.0686	4.5007	0.0624	1.0102	1.6458
76.3524	19.5054	4.8334	0.0686	1.0771	1.6575
76.5048	20.0663	5.4492	0.0949	1.1251	1.6513
76.6572	21.3941	6.1124	0.1174	1.2071	1.7264
76.8096	22.7546	6.7286	0.1286	1.3316	1.8105
76.9620	22.7827	6.9887	0.1267	1.4181	1.7843
77.1144	19.3530	5.9639	0.0958	1.2726	1.5126
77.2668	17.0606	5.0738	0.0637	1.1724	1.3542
77.4192	16.4361	4.5844	0.0465	1.1152	1.3389
77.5716	15.6896	4.1005	0.0376	1.0177	1.3093
77.7240	15.3521	3.9864	0.0324	1.0107	1.2840
77.8764	17.4140	4.6437	0.0331	1.2005	1.4427
78.0288	18.2227	5.0021	0.0260	1.3424	1.4936
78.1812	17.8017	5.3692	0.0267	1.4466	1.4045
78.3336	18.2533	6.3001	0.0528	1.5890	1.3504
78.4860	19.0321	6.5341	0.0704	1.5689	1.4119
78.6384	19.0856	5.8083	0.0665	1.3747	1.5000
78.7908	18.5553	5.4153	0.0634	1.2749	1.4845
78.9432	17.3915	5.2043	0.0636	1.2114	1.3768
79.0956	17.0673	4.8987	0.0651	1.1141	1.3747
79.2480	18.0762	4.7777	0.0736	1.0354	1.5024
79.4004	18.3045	4.4035	0.0694	0.9460	1.5704
79.5528	18.7142	4.5218	0.0675	0.9907	1.6034
79.7052	18.5083	5.0463	0.0809	1.0776	1.5208
79.8576	17.8470	5.4407	0.0986	1.1040	1.4016
80.0100	17.6105	5.6984	0.1135	1.1045	1.3457
80.1624	17.9460	6.1131	0.1276	1.1554	1.3368
80.3148	19.4683	7.0106	0.1514	1.2997	1.4074
80.4672	22.1052	8.5973	0.1887	1.5785	1.5260
80.6196	23.8006	10.1138	0.2288	1.8222	1.5462
80.7720	23.7144	11.1820	0.2674	1.9414	1.4158
80.9244	26.7914	13.4851	0.3414	2.2456	1.5032
81.0768	31.0237	15.9456	0.4100	2.6236	1.7034
81.2292	34.5274	18.1190	0.4691	2.9652	1.8537
81.3816	36.1141	19.0341	0.4956	3.1006	1.9296
81.5340	35.1982	18.7026	0.4865	3.0487	1.8636
81.6864	32.9984	18.6948	0.4872	3.0430	1.6159
81.8388	32.8629	19.9786	0.5373	3.1678	1.4556
81.9912	34.0694	21.6713	0.6131	3.2829	1.4006
82.1436	35.4753	23.0746	0.6628	3.4452	1.4009
82.2960	36.9521	24.1154	0.6874	3.6275	1.4502
82.4484	36.6899	24.5156	0.7065	3.6484	1.3754
82.6008	34.4536	24.0182	0.7009	3.5305	1.1789
82.7532	33.8714	24.0336	0.6978	3.5508	1.1114
82.9056	34.3724	24.1498	0.7022	3.5627	1.1549
83.0580	34.3601	23.6830	0.7047	3.4125	1.2062
83.2104	34.5769	23.6481	0.7280	3.2844	1.2346
83.3628	34.9234	23.9382	0.7641	3.1871	1.2410
83.5152	35.5114	23.8667	0.7834	3.0684	1.3155
83.6676	36.7678	23.6088	0.7827	2.9960	1.4866
83.8200	37.0566	22.5103	0.7419	2.8786	1.6433
83.9724	35.4736	20.3788	0.6645	2.6425	1.7053
84.1248	36.5163	20.3892	0.6635	2.6504	1.8219
84.2772	37.9984	20.6523	0.6813	2.6379	1.9596
84.4296	39.7914	21.0221	0.7054	2.6247	2.1204
84.5820	42.1146	21.8791	0.7310	2.7478	2.2861
84.7344	42.9378	21.4711	0.7114	2.7271	2.4252
84.8868	41.0768	18.9504	0.6159	2.4673	2.4997
85.0392	40.1511	17.0772	0.5365	2.3170	2.6067
85.1916	38.9143	16.3034	0.5101	2.2226	2.5544
85.3440	37.8522	16.2477	0.5152	2.1806	2.4407
85.4964	37.3460	15.9528	0.5048	2.1463	2.4168
85.6488	35.9910	14.8535	0.4687	2.0049	2.3880
85.8012	33.8741	13.5657	0.4266	1.8386	2.2943
85.9536	33.6830	13.5767	0.4196	1.8772	2.2715
86.1060	34.4059	14.0868	0.4258	1.9961	2.2955
86.2584	34.3906	14.1073	0.4182	2.0405	2.2915
86.4108	34.7556	14.3058	0.4162	2.1091	2.3103
86.5632	37.3106	15.4226	0.4468	2.2836	2.4727
86.7156	38.3077	15.6258	0.4567	2.2934	2.5624
86.8680	37.5510	15.1139	0.4412	2.2206	2.5348
87.0204	37.0499	15.6040	0.4523	2.3093	2.4228
87.1728	38.1684	17.1854	0.5007	2.5303	2.3705
87.3252	39.6820	18.2670	0.5376	2.6620	2.4193
87.4776	40.1894	18.3173	0.5415	2.6571	2.4709
87.6300	38.7892	17.2677	0.5158	2.4778	2.4313
87.7824	37.6884	16.1935	0.4996	2.2434	2.4283
87.9348	36.9753	16.1231	0.5213	2.1129	2.3557
88.0872	35.4280	16.3004	0.5500	2.0200	2.1609
88.2396	33.6986	15.3316	0.5269	1.8512	2.0750
88.3920	33.9081	14.3689	0.4934	1.7374	2.2074
88.5444	34.3597	14.0843	0.4792	1.7251	2.2906
88.6968	34.0295	14.0494	0.4768	1.7273	2.2572
88.8492	33.8856	14.1945	0.4918	1.6941	2.2246
89.0016	35.1766	14.7669	0.5252	1.6937	2.3057
89.1540	36.4937	15.2807	0.5377	1.7817	2.3965
89.3064	35.7060	14.9210	0.5098	1.8170	2.3481
89.4588	36.1835	15.1770	0.5128	1.8771	2.3732
89.6112	36.9868	15.7043	0.5285	1.9529	2.4043
89.7636	37.0162	15.9857	0.5371	1.9927	2.3759
89.9160	34.7965	15.1795	0.5204	1.8395	2.2162
90.0684	33.2619	13.9897	0.4984	1.6003	2.1772
90.2208	32.5496	12.8085	0.4640	1.4260	2.2302
90.3732	32.6166	12.8632	0.4458	1.5345	2.2316
90.5256	32.1720	13.1652	0.4266	1.7208	2.1472
90.6780	33.5831	14.2915	0.4405	1.9823	2.1794
90.8304	34.6121	15.1265	0.4476	2.1921	2.2013
90.9828	34.0360	14.7756	0.4143	2.2570	2.1759
91.1352	33.0496	14.1728	0.3789	2.2587	2.1326
91.2876	32.1704	14.1856	0.3718	2.2982	2.0318
91.4400	32.7418	14.7069	0.3827	2.3969	2.0375
91.5924	37.0641	16.1340	0.4231	2.6130	2.3645
91.7448	41.5232	17.2729	0.4500	2.8124	2.7396
91.8972	42.1612	16.3746	0.4107	2.7464	2.9132
92.0496	42.1607	15.0194	0.3644	2.5816	3.0662
92.2020	41.8663	14.1311	0.3397	2.4447	3.1333
92.3544	43.4001	14.7251	0.3544	2.5456	3.2395
92.5068	43.9326	15.3119	0.3600	2.6899	3.2334
92.6592	44.1156	15.7467	0.3520	2.8586	3.2049
92.8116	43.6653	16.1906	0.3594	2.9519	3.1039
92.9640	45.2077	17.2757	0.3917	3.1084	3.1555
93.1164	45.4948	17.4796	0.3899	3.1774	3.1650
93.2688	45.5787	16.7911	0.3591	3.1305	3.2522
93.4212	43.2663	14.3703	0.2994	2.7191	3.2645
93.5736	41.4233	12.4613	0.2588	2.3623	3.2719
93.7260	42.5891	12.5598	0.2575	2.3979	3.3925
93.8784	45.1553	13.5482	0.2749	2.6009	3.5707
94.0308	45.6611	14.0812	0.2971	2.6456	3.5677
94.1832	44.4680	14.0835	0.3073	2.5947	3.4326
94.3356	44.1515	14.0151	0.2958	2.6329	3.4046
94.4880	44.8133	14.7604	0.3121	2.7700	3.3952
94.6404	46.2834	16.7392	0.3739	3.0402	3.3377
94.7928	46.4939	18.6617	0.4449	3.2475	3.1443
94.9452	46.5497	20.1473	0.5140	3.3352	2.9827
95.0976	47.8127	21.5524	0.5771	3.4303	2.9667
95.2500	49.0431	22.4868	0.6195	3.4912	3.0001
95.4024	49.1679	22.6597	0.6366	3.4556	2.9947
95.5548	49.9777	23.3096	0.6748	3.4536	3.0128
95.7072	51.3548	24.5808	0.7406	3.4954	3.0247
95.8596	51.0906	24.9975	0.7663	3.4881	2.9478
96.0120	51.1972	25.0414	0.7564	3.5512	2.9549
96.1644	54.2153	26.3504	0.7722	3.8567	3.1480
96.3168	56.6531	27.5063	0.7830	4.1429	3.2928
96.4692	55.9031	27.3234	0.7671	4.1695	3.2287
96.6216	52.6982	26.1162	0.7399	3.9514	3.0030
96.7740	50.9618	25.3779	0.7377	3.7446	2.8903
96.9264	49.9192	24.9448	0.7526	3.5418	2.8214
97.0788	50.2952	25.2915	0.7833	3.4886	2.8247
97.2312	49.1886	24.7611	0.7661	3.4194	2.7596
97.3836	46.2104	23.1632	0.7155	3.2048	2.6037
97.5360	42.0802	20.9775	0.6535	2.8742	2.3840
97.6884	41.5605	20.3678	0.6389	2.7684	2.3942
97.8408	41.1688	19.4242	0.6100	2.6366	2.4565
97.9932	39.0858	17.9001	0.5455	2.5140	2.3934
98.1456	37.2127	17.0468	0.4885	2.5509	2.2782
98.2980	37.1036	17.4021	0.4797	2.7004	2.2257
98.4504	37.2822	17.9102	0.4903	2.7961	2.1885
98.6028	37.5333	18.0018	0.4945	2.8022	2.2065
98.7552	36.8647	17.0620	0.4633	2.6828	2.2372
98.9076	36.2582	15.9634	0.4240	2.5582	2.2928
99.0600	36.6249	15.7557	0.4089	2.5731	2.3576
99.2124	35.8304	15.2796	0.3936	2.5105	2.3217
99.3648	35.5778	15.0045	0.3968	2.4133	2.3242
99.5172	36.3524	15.2828	0.4135	2.4108	2.3803
99.6696	36.7166	15.4875	0.4174	2.4513	2.3983
99.8220	35.2077	15.0033	0.3943	2.4254	2.2825
99.9744	34.1891	14.8939	0.3708	2.5122	2.1798
100.1268	34.0180	15.1856	0.3564	2.6710	2.1275
100.2792	35.2227	15.7207	0.3628	2.7962	2.2032
100.4316	37.0571	16.3185	0.3809	2.8806	2.3429
100.5840	38.7260	17.3107	0.4130	3.0105	2.4193
100.7364	38.7312	17.8266	0.4284	3.0849	2.3616
100.8888	37.5297	17.0783	0.3988	3.0139	2.3105
101.0412	36.5067	15.7972	0.3608	2.8287	2.3396
101.1936	35.6676	15.0991	0.3517	2.6691	2.3237
101.3460	34.1922	14.5069	0.3407	2.5503	2.2239
101.4984	33.7534	13.9718	0.3212	2.4913	2.2348
101.6508	34.6201	13.6530	0.3051	2.4788	2.3687
101.8032	35.8578	13.4282	0.2977	2.4501	2.5339
101.9556	35.4449	12.8932	0.2958	2.3020	2.5477
102.1080	34.0980	12.3631	0.2942	2.1540	2.4554
102.2604	34.0206	12.4815	0.3068	2.1250	2.4333
102.4128	35.3311	13.4292	0.3429	2.2217	2.4743
102.5652	37.2627	14.9920	0.3933	2.4274	2.5160
102.7176	39.0310	16.3907	0.4316	2.6453	2.5577
102.8700	39.9020	16.6975	0.4340	2.7239	2.6215
103.0224	40.2171	16.1899	0.4227	2.6315	2.7144
103.1748	41.8706	16.2678	0.4364	2.5852	2.8924
103.3272	43.9456	16.8349	0.4628	2.6184	3.0628
103.4796	42.7940	16.2113	0.4527	2.4860	3.0031
103.6320	40.0570	14.5646	0.4083	2.2257	2.8799
103.7844	38.6859	13.2930	0.3668	2.0606	2.8687
103.9368	39.3420	13.4302	0.3639	2.1159	2.9273
104.0892	39.8793	14.0799	0.3806	2.2227	2.9146
104.2416	41.2430	14.6844	0.4085	2.2595	3.0004
104.3940	42.0933	14.9930	0.4390	2.1965	3.0616
104.5464	41.2515	14.8948	0.4426	2.1491	2.9776
104.6988	39.3352	14.6778	0.4319	2.1393	2.7856
104.8512	39.1081	15.4589	0.4619	2.2176	2.6717
105.0036	40.1218	16.5686	0.5055	2.3239	2.6609
