HOLE:	1230A
LEG:	201
TOP:	0.1519
BOTTOM:	266.3947
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%	
0.1519	1.9633	1.5825	0.0514	0.2049	0.0434	-4.9051
0.3043	2.8390	1.9540	0.0567	0.2925	0.1287	-4.9051
0.4567	3.9360	2.5354	0.0575	0.4738	0.1824	-4.9051
0.6091	4.7222	3.0649	0.0655	0.5959	0.2069	-4.9051
0.7615	5.7666	3.5488	0.0855	0.6337	0.2675	-4.9051
0.9139	6.1825	3.8275	0.0884	0.7055	0.3169	-4.9051
1.0663	7.3911	4.3953	0.0849	0.9074	0.3990	-4.9051
1.2187	8.2586	4.6747	0.0790	1.0314	0.4847	-4.9051
1.3711	9.3277	5.8737	0.0978	1.3041	0.4609	-4.9051
1.5235	9.9797	6.1137	0.1045	1.3419	0.5155	-4.9051
1.6759	9.4895	6.1547	0.1120	1.3110	0.4272	-4.9051
1.8283	8.2058	5.0779	0.0832	1.1355	0.4104	-4.9051
1.9807	6.5488	4.0737	0.0664	0.9133	0.3120	-4.9051
2.1331	4.6658	2.7565	0.0548	0.5598	0.2406	-4.9051
2.2855	3.9596	2.2175	0.0504	0.4136	0.2297	-4.9051
2.4379	3.7169	1.9477	0.0396	0.3905	0.2375	-4.9051
2.5903	4.1894	2.0351	0.0435	0.3956	0.2692	-4.9051
2.7427	5.5840	2.4510	0.0642	0.4076	0.4093	-4.9051
2.8951	5.7885	2.1819	0.0565	0.3666	0.4954	-4.9051
3.0475	6.2770	2.0921	0.0758	0.2249	0.5488	-4.9051
3.1999	6.8484	2.7644	0.1099	0.2400	0.5488	-4.9051
3.3523	8.4237	3.1349	0.1212	0.2921	0.7210	-4.9051
3.5047	9.4974	4.3225	0.1550	0.4739	0.7022	-4.9051
3.6571	9.5993	4.0708	0.1474	0.4376	0.7258	-4.9051
3.8095	9.6257	4.0348	0.1483	0.4210	0.7446	-4.9051
3.9619	9.6952	4.3413	0.1457	0.5344	0.6991	-4.9051
4.1143	9.8215	4.8507	0.1546	0.6448	0.6763	-4.9051
4.2667	9.9578	5.1702	0.1618	0.7046	0.6400	-4.9051
4.4191	10.0542	5.4523	0.1737	0.7253	0.6055	-4.9051
4.5715	9.3699	5.2533	0.1736	0.6621	0.5493	-4.9051
4.7239	9.0026	4.7115	0.1382	0.6963	0.5953	-4.9051
4.8763	9.2068	4.1726	0.1072	0.7055	0.6710	-4.9051
5.0287	9.1417	4.0021	0.1188	0.5831	0.6605	-4.9051
5.1811	9.3341	3.6915	0.1172	0.4936	0.7379	-4.9051
5.3335	9.8020	4.5992	0.1519	0.5802	0.6994	-4.9051
5.4859	10.4869	5.2782	0.1656	0.7169	0.7192	-4.9051
5.6383	10.8571	5.4801	0.1810	0.6913	0.7383	-4.9051
5.7907	10.1825	5.2638	0.1870	0.5874	0.6426	-4.9051
5.9431	9.5580	5.1705	0.1896	0.5424	0.5919	-4.9051
6.0955	9.1002	5.1221	0.1878	0.5372	0.5594	-4.9051
6.2479	9.1919	5.1280	0.1842	0.5601	0.5666	-4.9051
6.4003	9.3963	5.1824	0.1838	0.5798	0.5865	-4.9051
6.5527	9.1960	5.7176	0.1973	0.6720	0.4936	-4.9051
6.7051	9.0200	5.6673	0.1911	0.6923	0.4699	-4.9051
6.8575	9.7261	5.9895	0.1988	0.7499	0.5190	-4.9051
7.0099	9.7581	5.6830	0.1966	0.6651	0.5516	-4.9051
7.1623	9.7498	5.7941	0.1815	0.7889	0.5156	-4.9051
7.3147	9.1695	5.5304	0.1582	0.8411	0.4968	-4.9051
7.4671	9.6021	5.6684	0.1523	0.9197	0.5370	-4.9051
7.6195	9.8611	5.4686	0.1447	0.9001	0.5742	-4.9051
7.7719	9.5647	4.9960	0.1300	0.8352	0.5657	-4.9051
7.9243	8.5317	4.7345	0.1245	0.7842	0.4393	-4.9051
8.0767	7.0563	4.5015	0.1227	0.7200	0.2766	-4.9051
8.2291	6.5350	3.8115	0.1006	0.6292	0.3228	-4.9051
8.3815	6.1648	3.5000	0.0884	0.6008	0.3453	-4.9051
8.5339	5.9348	3.4933	0.0835	0.6274	0.3177	-4.9051
8.6863	5.8450	3.2493	0.0589	0.6938	0.3323	-4.9051
8.8387	5.6283	3.2293	0.0753	0.5911	0.3186	-4.9051
8.9911	6.4582	3.6122	0.0885	0.6362	0.3694	-4.9051
