HOLE:	1230A
LEG:	201
TOP:	80.1619
BOTTOM:	272.1859
DEPTH_WMSF	RHOB	DRHO	PEF
m	g/cm3	g/cm3	barns/e-
80.1619	1.3657	-0.3317	2.3826
80.3143	1.3354	-0.0583	2.1768
80.4667	1.2561	0.0088	2.1255
80.6191	1.2253	0.0094	2.1423
80.7715	1.2222	0.0089	2.1451
80.9239	1.2191	0.0079	2.1808
81.0763	1.2228	0.0101	2.2175
81.2287	1.2222	0.0100	2.2580
81.3811	1.2267	0.0090	2.2474
81.5335	1.2306	0.0039	2.2506
81.6859	1.2462	0.0097	2.2757
81.8383	1.2643	0.0191	2.3284
81.9907	1.2856	0.0297	2.3804
82.1431	1.3020	0.0324	2.4659
82.2955	1.3153	0.0314	2.4437
82.4479	1.3127	0.0273	2.3786
82.6003	1.3036	0.0276	2.2358
82.7527	1.2959	0.0319	2.1933
82.9051	1.3036	0.0324	2.1682
83.0575	1.3471	0.0482	2.1882
83.2099	1.3930	0.0611	2.1885
83.3623	1.4300	0.0789	2.2660
83.5147	1.4331	0.0734	2.3230
83.6671	1.4347	0.0705	2.3872
83.8195	1.4435	0.0749	2.3663
83.9719	1.4117	0.0690	2.3639
84.1243	1.3763	0.0560	2.3349
84.2767	1.3348	0.0394	2.3537
84.4291	1.3342	0.0352	2.3707
84.5815	1.3511	0.0386	2.3956
84.7339	1.3830	0.0557	2.3912
84.8863	1.4070	0.0706	2.4087
85.0387	1.4064	0.0762	2.4316
85.1911	1.3965	0.0693	2.4278
85.3435	1.3671	0.0498	2.4251
85.4959	1.3435	0.0339	2.4068
85.6483	1.3206	0.0202	2.3769
85.8007	1.3202	0.0238	2.3501
85.9531	1.3211	0.0282	2.3371
86.1055	1.3217	0.0301	2.3378
86.2579	1.3169	0.0226	2.3210
86.4103	1.3247	0.0199	2.2715
86.5627	1.3563	0.0262	2.2870
86.7151	1.4292	0.0561	2.2945
86.8675	1.4748	0.0626	2.3437
87.0199	1.4938	0.0661	2.3304
87.1723	1.4886	0.0614	2.3439
87.3247	1.4986	0.0726	2.3215
87.4771	1.5073	0.0718	2.3625
87.6295	1.5098	0.0701	2.4140
87.7819	1.5111	0.0659	2.4420
87.9343	1.5138	0.0701	2.4196
88.0867	1.5069	0.0652	2.3501
88.2391	1.5015	0.0663	2.3195
88.3915	1.5050	0.0748	2.2999
88.5439	1.4953	0.0762	2.3084
88.6963	1.4992	0.0858	2.3551
88.8487	1.4853	0.0788	2.3482
89.0011	1.4723	0.0771	2.3553
89.1535	1.4641	0.0790	2.3490
89.3059	1.4577	0.0848	2.3608
89.4583	1.4574	0.0876	2.3878
89.6107	1.4437	0.0816	2.3850
89.7631	1.4227	0.0717	2.3812
89.9155	1.4089	0.0649	2.3412
90.0679	1.3972	0.0584	2.3347
90.2203	1.3918	0.0535	2.3196
90.3727	1.3978	0.0611	2.3396
90.5251	1.3986	0.0587	2.2812
90.6775	1.4159	0.0678	2.2865
90.8299	1.4286	0.0683	2.3360
90.9823	1.4692	0.0813	2.4355
91.1347	1.5026	0.0729	2.5736
91.2871	1.5249	0.0537	2.6791
91.4395	1.5333	0.0278	2.7879
91.5919	1.5427	0.0180	2.7761
91.7443	1.5624	0.0221	2.6964
91.8967	1.5503	0.0156	2.7135
92.0491	1.5425	0.0152	2.7197
92.2015	1.5327	0.0111	2.7426
92.3539	1.5345	0.0158	2.7206
92.5063	1.5397	0.0204	2.7420
92.6587	1.5385	0.0197	2.6946
92.8111	1.5386	0.0199	2.6854
92.9635	1.5352	0.0146	2.6673
93.1159	1.5426	0.0175	2.7317
93.2683	1.5506	0.0177	2.7126
93.4207	1.5489	0.0142	2.6851
93.5731	1.5467	0.0107	2.6530
93.7255	1.5458	0.0093	2.7215
93.8779	1.5544	0.0150	2.7782
94.0303	1.5515	0.0111	2.7713
94.1827	1.5536	0.0105	2.7342
94.3351	1.5520	0.0031	2.7190
94.4875	1.5601	0.0053	2.7880
94.6399	1.5630	0.0058	2.8375
94.7923	1.5705	0.0073	2.9045
94.9447	1.5760	0.0055	2.8939
95.0971	1.5838	0.0043	2.8896
95.2495	1.5864	0.0055	2.8842
95.4019	1.5845	0.0028	2.8896
95.5543	1.5789	-0.0004	2.8841
