HOLE: 1230A			
LEG: 201			
LOGGING RUN: DIT/APS/HLDT/SGT/HNGS			
DATE: 3/16/2002			
Sea Floor Depth: 5099 mbrf			
Depth from MAXIS			

Depth	Elapsed Time	Temp	Pressure
(mbsf)	(sec)	(degC)	(bar)
-81.3700	0	3.80	508.28
-80.7000	1	3.77	507.72
-80.0400	2	3.76	506.14
-79.3600	3	3.80	501.38
-78.9500	4	3.76	499.86
-78.5300	5	3.78	498.90
-77.8600	6	3.79	501.31
-77.1900	7	3.80	501.45
-76.5200	8	3.78	499.17
-75.6800	9	3.76	500.48
-75.0100	10	3.76	509.24
-74.3800	11	3.79	509.38
-73.6100	12	3.75	509.17
-72.9500	13	3.79	508.76
-72.2900	14	3.80	508.00
-71.5100	15	3.80	509.79
-70.8900	16	3.76	509.03
-70.2600	17	3.76	506.41
-69.8300	18	3.78	498.07
-69.4600	19	3.78	497.86
-68.8500	20	3.80	500.07
-68.0500	21	3.76	503.86
-67.4000	22	3.79	506.21
-66.7600	23	3.78	509.17
-66.1200	24	3.77	508.69
-65.3700	25	3.78	510.97
-64.7600	26	3.78	510.55
-64.1400	27	3.80	509.93
-63.5200	28	3.80	509.10
-62.9400	29	3.79	505.52
-62.1900	30	3.80	503.17
-61.5800	31	3.79	502.55
-60.9900	32	3.80	504.00
-60.4000	33	3.83	506.14
-60.0400	34	3.79	506.83
-59.6900	35	3.80	505.79
-59.0900	36	3.77	506.97
-58.4800	37	3.80	510.00
-57.7500	38	3.79	510.90
-57.1500	39	3.80	510.55
-56.5400	40	3.79	509.86
-55.9400	41	3.80	509.59
-55.2300	42	3.78	507.86
-54.6400	43	3.80	507.86
-54.0500	44	3.79	505.52
-53.5300	45	3.80	506.28
-52.8600	46	3.78	507.86
-52.3100	47	3.80	507.52
-51.7600	48	3.79	506.00
-51.2000	49	3.83	506.48
-50.6500	50	3.78	508.34
-50.3100	51	3.80	511.38
-49.9600	52	3.79	511.24
-49.4000	53	3.80	510.00
-48.8500	54	3.80	506.00
-48.3000	55	3.80	507.52
-47.7500	56	3.80	509.24
-47.0500	57	3.78	509.31
-46.5000	58	3.81	507.79
-46.0000	59	3.79	508.83
-45.4800	60	3.80	509.24
-44.8200	61	3.78	512.41
-44.2900	62	3.80	512.21
-43.8000	63	3.81	511.38
-43.3500	64	3.75	508.41
-42.8900	65	3.77	508.55
-42.4100	66	3.79	508.55
-41.7900	67	3.81	507.86
-41.2900	68	3.79	504.69
-40.7800	69	3.80	504.48
-40.4700	70	3.80	506.62
-40.1500	71	3.78	513.31
-39.6400	72	3.79	513.03
-39.1300	73	3.79	512.69
-38.5000	74	3.79	511.93
-37.9900	75	3.80	512.76
-37.4800	76	3.79	513.52
-36.9800	77	3.79	513.10
-36.3400	78	3.78	511.59
-35.8400	79	3.79	507.03
-35.3300	80	3.80	506.34
-34.8200	81	3.77	507.38
-34.1800	82	3.79	508.28
-33.6800	83	3.79	508.55
-33.1700	84	3.79	510.90
-32.6600	85	3.80	510.28
-32.3400	86	3.81	513.03
-32.0300	87	3.79	511.72
-31.5100	88	3.77	513.45
-31.0100	89	3.81	513.93
-30.5000	90	3.82	513.66
-29.9900	91	3.78	512.97
-29.3500	92	3.78	507.79
-28.8500	93	3.79	506.55
-28.3400	94	3.80	509.79
-27.8300	95	3.79	511.79
-27.2000	96	3.78	512.28
-26.6900	97	3.80	510.48
-26.1800	98	3.80	505.72
-25.6700	99	3.79	508.48
-25.1600	100	3.76	514.07
-24.6500	101	3.79	514.48
-24.1400	102	3.80	514.21
-23.5100	103	3.79	507.86
-23.0600	104	3.80	504.55
-22.7000	105	3.80	512.28
-22.4600	106	3.75	514.83
-22.2100	107	3.81	514.07
-21.8500	108	3.80	513.59
-21.5600	109	3.80	506.48
-21.2500	110	3.79	507.66
-21.0000	111	3.79	515.52
-20.6700	112	3.79	514.55
-20.1800	113	3.79	514.62
-19.7700	114	3.80	511.45
-19.3300	115	3.80	506.34
-18.8800	116	3.78	511.52
-18.4300	117	3.77	515.24
-17.8700	118	3.79	515.24
