HOLE: 1230A			
LEG: 201			
LOGGING RUN: DIT/APS/HLDT/SGT/HNGS			
DATE: 3/16/2002			Sea Floor Depth: 5099 mbrf						
Depth	Elapsed Time	Temp	Pressure
(mbsf)	(sec)	(degC)	(bar)
0.1899	552	3.83	512.48
0.4102	553	3.80	509.66
0.6099	554	3.84	511.79
0.8101	555	3.82	516.21
1.0601	556	3.81	518.62
1.2798	557	3.80	518.21
1.6001	558	3.84	517.93
1.7900	559	3.84	508.48
1.9600	560	3.80	509.72
2.2100	561	3.81	516.41
2.2900	562	3.82	516.14
2.4102	563	3.82	510.69
2.4102	564	3.81	508.41
2.4102	565	3.82	505.72
2.4199	566	3.81	514.28
2.4800	567	3.81	518.14
2.5498	568	3.82	517.38
2.6099	569	3.82	512.34
2.6699	570	3.83	509.31
2.7300	571	3.82	511.31
2.8101	572	3.82	518.34
2.9702	573	3.82	517.45
3.2002	574	3.80	517.17
3.3198	575	3.81	507.86
3.4502	576	3.84	506.41
3.7598	577	3.81	513.10
3.9902	578	3.81	518.34
4.2402	579	3.82	517.59
4.5000	580	3.81	513.66
4.7598	581	3.83	504.62
5.0200	582	3.79	512.07
5.2700	583	3.79	519.10
5.6201	584	3.81	518.21
5.8799	585	3.80	517.52
6.1299	586	3.77	510.07
6.4800	587	3.81	508.07
6.7700	588	3.82	517.79
7.0898	589	3.82	518.28
7.4399	590	3.82	517.17
7.8999	591	3.81	515.52
8.2700	592	3.80	510.76
8.4399	593	3.82	513.79
8.6401	594	3.81	517.31
9.0801	595	3.81	515.86
9.4502	596	3.81	515.45
9.8101	597	3.81	512.76
10.1700	598	3.80	510.07
10.6200	599	3.79	512.07
11.0100	600	3.80	516.48
11.3900	601	3.80	515.10
11.7700	602	3.80	514.21
12.1500	603	3.78	511.38
12.5300	604	3.80	510.41
13.0100	605	3.77	514.34
13.4000	606	3.80	518.76
13.7800	607	3.82	517.72
14.1600	608	3.81	515.38
14.5300	609	3.84	512.07
14.9800	610	3.84	513.86
15.3300	611	3.89	518.90
15.5000	612	3.93	518.76
15.6800	613	3.92	517.86
16.0400	614	3.95	512.62
16.4800	615	4.01	510.90
16.8300	616	3.99	513.24
17.2800	617	4.04	514.21
17.6400	618	4.05	510.83
17.9900	619	4.07	512.55
18.3400	620	4.05	512.14
18.7900	621	4.08	513.86
19.1400	622	4.08	515.93
19.5000	623	4.04	517.86
19.8500	624	4.04	519.31
20.3000	625	4.05	519.66
20.4800	626	4.06	519.17
20.6500	627	4.11	518.90
21.0100	628	4.13	514.55
21.4500	629	4.13	513.24
21.8100	630	4.16	514.90
22.1600	631	4.16	513.38
22.5200	632	4.15	512.14
22.9600	633	4.13	511.38
23.3200	634	4.13	511.24
23.6700	635	4.15	517.03
24.0300	636	4.12	519.86
24.3800	637	4.14	519.59
24.8300	638	4.14	519.59
25.1800	639	4.17	519.38
25.5300	640	4.18	519.45
25.8900	641	4.19	520.07
26.3300	642	4.24	519.31
26.5200	643	4.23	514.62
26.6900	644	4.21	513.38
27.0500	645	4.22	513.38
27.4900	646	4.22	516.55
27.8400	647	4.18	517.66
28.2000	648	4.19	515.79
28.6400	649	4.18	513.38
29.0000	650	4.15	515.66
29.3500	651	4.15	518.55
29.7100	652	4.15	520.34
30.1500	653	4.10	520.07
30.5100	654	4.07	519.66
30.8600	655	4.03	514.28
31.3100	656	4.06	514.76
31.4900	657	4.02	519.45
31.6600	658	4.01	520.21
32.0200	659	4.04	520.28
32.4700	660	4.05	516.21
32.8000	661	4.08	508.76
33.1300	662	4.11	514.14
33.5600	663	4.16	520.69
33.8800	664	4.17	520.21
34.1900	665	4.18	520.28
34.5000	666	4.19	512.14
34.8100	667	4.18	507.10
35.2000	668	4.24	519.79
35.5200	669	4.22	520.90
35.8300	670	4.25	520.62
36.1400	671	4.28	520.83
36.4500	672	4.32	513.24
36.7700	673	4.31	515.93
37.0800	674	4.34	521.72
37.4500	675	4.36	521.03
37.6100	676	4.39	520.90
37.7400	677	4.41	520.41
38.0400	678	4.39	516.48
38.4100	679	4.39	518.76
38.7000	680	4.41	521.24
39.0000	681	4.40	518.76
39.3700	682	4.45	520.00
39.6700	683	4.47	516.07
39.9600	684	4.49	514.69
40.2500	685	4.47	518.83
40.4400	686	4.52	521.17
40.6700	687	4.48	519.38
40.8800	688	4.44	516.90
41.1300	689	4.47	516.62
41.4700	690	4.44	521.38
41.6000	691	4.47	521.79
41.7400	692	4.51	521.31
42.0400	693	4.50	516.76
42.3700	694	4.48	515.24
42.7800	695	4.43	520.07
43.1100	696	4.41	522.00
43.4200	697	4.36	521.45
43.7500	698	4.30	515.93
44.0900	699	4.26	513.45
44.4800	700	4.24	515.31
44.7800	701	4.24	522.00
45.0800	702	4.21	521.72
45.3800	703	4.18	521.52
45.7700	704	4.27	515.10
46.0500	705	4.29	518.21
46.3400	706	4.30	522.28
46.7000	707	4.34	522.07
46.8400	708	4.34	521.66
46.9900	709	4.37	514.07
47.2800	710	4.41	510.14
47.5700	711	4.41	521.10
47.8600	712	4.45	522.28
48.2200	713	4.43	522.41
48.5100	714	4.52	522.14
48.8000	715	4.48	516.07
49.0900	716	4.50	520.90
49.4500	717	4.52	522.83
49.7200	718	4.54	522.28
49.9600	719	4.54	522.00
50.1900	720	4.55	513.79
50.4700	721	4.55	512.21
50.7000	722	4.58	517.31
50.9900	723	4.56	522.41
51.1100	724	4.58	522.55
51.2200	725	4.62	522.48
51.3600	726	4.60	519.38
51.4200	727	4.65	522.14
51.5200	728	4.65	523.17
51.7500	729	4.66	522.97
52.0200	730	4.68	522.34
52.2900	731	4.67	519.24
52.5500	732	4.66	518.34
52.8800	733	4.63	516.76
53.1600	734	4.60	520.21
53.4400	735	4.54	522.28
53.7200	736	4.48	522.90
53.9800	737	4.46	522.48
54.3000	738	4.39	519.66
54.5800	739	4.36	521.03
54.8500	740	4.35	523.24
55.1200	741	4.34	523.03
55.4700	742	4.35	523.03
55.6000	743	4.38	521.31
55.7400	744	4.40	520.62
56.0200	745	4.46	522.55
56.3000	746	4.49	522.21
56.5700	747	4.52	520.62
56.9200	748	4.52	518.34
57.1900	749	4.57	515.45
57.4600	750	4.61	516.21
57.7400	751	4.63	520.83
58.0100	752	4.64	522.76
58.2900	753	4.66	521.93
58.6400	754	4.69	520.62
58.9200	755	4.67	523.59
59.1900	756	4.71	523.66
59.5400	757	4.67	523.66
59.8200	758	4.71	523.24
60.0900	759	4.73	513.93
60.3700	760	4.73	514.00
60.5500	761	4.72	519.79
60.7200	762	4.72	522.07
61.0000	763	4.73	522.28
61.3500	764	4.73	522.34
61.6200	765	4.75	519.52
61.9000	766	4.72	524.07
62.1800	767	4.78	523.93
62.4700	768	4.75	523.93
62.7400	769	4.77	523.52
63.0900	770	4.75	518.76
63.3700	771	4.71	518.21
63.6500	772	4.65	522.55
63.9300	773	4.60	521.59
64.2800	774	4.56	521.52
64.5600	775	4.49	520.48
64.8400	776	4.48	519.17
65.1900	777	4.45	522.34
65.3400	778	4.44	524.07
65.4700	779	4.42	523.86
65.7500	780	4.41	523.79
66.1000	781	4.40	524.07
66.3700	782	4.42	524.21
66.6500	783	4.42	524.28
66.9300	784	4.47	523.93
67.2800	785	4.51	518.83
67.5600	786	4.55	517.45
67.8500	787	4.61	516.97
68.1200	788	4.65	519.79
68.4800	789	4.67	523.66
68.7600	790	4.66	524.41
69.0400	791	4.70	520.14
69.3100	792	4.71	520.41
69.5900	793	4.73	524.48
69.7700	794	4.75	524.55
69.9500	795	4.77	524.55
70.2200	796	4.81	524.48
70.4800	797	4.84	510.34
70.7500	798	4.83	515.45
71.0900	799	4.87	524.55
71.3700	800	4.87	524.55
71.6400	801	4.88	524.83
71.9100	802	4.88	519.93
72.2500	803	4.91	512.14
72.5200	804	4.88	525.17
72.8000	805	4.90	524.97
73.0800	806	4.91	524.69
73.3500	807	4.90	524.90
73.6900	808	4.87	515.31
73.9700	809	4.86	515.10
74.2500	810	4.85	525.31
74.5900	811	4.83	525.03
74.7400	812	4.78	525.10
74.8700	813	4.77	520.90
75.1400	814	4.71	514.14
75.4800	815	4.67	521.86
75.7500	816	4.65	525.45
76.0200	817	4.63	525.17
76.2900	818	4.63	525.10
76.6300	819	4.60	516.07
76.8900	820	4.58	516.76
77.1600	821	4.57	525.45
77.5000	822	4.54	525.10
77.7700	823	4.52	525.45
78.0300	824	4.50	517.31
78.2900	825	4.53	513.93
78.4500	826	4.54	525.03
78.5800	827	4.56	525.66
78.8200	828	4.57	525.31
78.9800	829	4.57	525.52
79.1000	830	4.56	515.79
79.3200	831	4.60	520.48
79.5400	832	4.61	525.86
79.7200	833	4.63	525.59
80.0100	834	4.65	525.72
80.3200	835	4.67	520.34
80.7000	836	4.70	516.07
80.9000	837	4.74	524.34
81.0400	838	4.75	526.00
81.2000	839	4.81	525.79
81.2500	840	4.80	525.86
81.3200	841	4.84	518.76
81.4000	842	4.87	517.17
81.5800	843	4.90	526.00
81.8100	844	4.92	525.86
81.9100	845	4.89	525.93
82.0100	846	4.90	520.28
82.1900	847	4.90	519.59
82.3900	848	4.92	524.07
82.6200	849	4.93	526.28
82.9600	850	4.94	526.14
83.2000	851	4.93	526.00
83.2500	852	4.95	519.93
83.3200	853	4.95	519.72
83.3600	854	4.93	526.28
83.4400	855	4.97	526.21
83.6800	856	4.95	526.21
83.8900	857	4.95	526.28
84.1200	858	4.93	522.76
84.3600	859	4.92	526.28
84.5100	860	4.87	526.28
84.6800	861	4.84	526.34
84.9500	862	4.83	521.45
85.2200	863	4.82	519.24
85.4600	864	4.86	522.62
85.5100	865	4.82	526.21
85.5700	866	4.79	526.07
85.6600	867	4.79	526.41
85.8600	868	4.75	526.41
86.0900	869	4.72	526.55
86.3800	870	4.73	526.76
86.6100	871	4.69	526.69
86.8500	872	4.73	526.55
87.0800	873	4.74	523.59
87.3000	874	4.78	523.24
87.3500	875	4.83	520.90
87.3500	876	4.82	519.66
87.4000	877	4.82	521.93
87.4500	878	4.85	526.41
87.5000	879	4.86	526.48
87.5600	880	4.89	526.69
87.6100	881	4.90	526.90
87.6600	882	4.93	526.97
87.7600	883	4.93	526.83
87.7600	884	4.93	526.76
87.8100	885	4.91	526.76
87.8600	886	4.95	526.83
87.9100	887	4.91	518.62
87.9600	888	4.92	516.97
88.1500	889	4.93	519.03
88.3800	890	4.97	523.45
88.4500	891	5.02	526.62
88.4500	892	5.04	526.83
88.4500	893	5.07	527.17
88.4500	894	5.10	527.38
88.4500	895	5.14	526.97
88.4500	896	5.17	526.76
88.4500	897	5.20	526.90
88.4800	898	5.18	527.38
88.5800	899	5.21	527.38
88.7000	900	5.19	527.03
88.9200	901	5.21	526.90
89.1500	902	5.22	527.03
89.4700	903	5.23	527.03
89.6400	904	5.21	527.03
89.6800	905	5.22	527.17
89.6700	906	5.23	527.24
89.7000	907	5.23	527.17
