HOLE: 1230A								
LEG: 201								
LOGGING RUN: DIT/APS/HLDT/SGT/HNGS								
DATE: 3/16/2002		Sea Floor Depth: 5099 mbrf						
Depth	Temp	Pressure						
(mbsf)	(degC)	(bar)						
0.1899	3.83	512.48						
0.4102	3.80	509.66						
0.6099	3.84	511.79						
0.8101	3.82	516.21						
1.0601	3.81	518.62						
1.2798	3.80	518.21						
1.6001	3.84	517.93						
1.7900	3.84	508.48						
1.9600	3.80	509.72						
2.2100	3.81	516.41						
2.2900	3.82	516.14						
2.4102	3.82	510.69						
2.4102	3.81	508.41						
2.4102	3.82	505.72						
2.4199	3.81	514.28						
2.4800	3.81	518.14						
2.5498	3.82	517.38						
2.6099	3.82	512.34						
2.6699	3.83	509.31						
2.7300	3.82	511.31						
2.8101	3.82	518.34						
2.9702	3.82	517.45						
3.2002	3.80	517.17						
3.3198	3.81	507.86						
3.4502	3.84	506.41						
3.7598	3.81	513.10						
3.9902	3.81	518.34						
4.2402	3.82	517.59						
4.5000	3.81	513.66						
4.7598	3.83	504.62						
5.0200	3.79	512.07						
5.2700	3.79	519.10						
5.6201	3.81	518.21						
5.8799	3.80	517.52						
6.1299	3.77	510.07						
6.4800	3.81	508.07						
6.7700	3.82	517.79						
7.0898	3.82	518.28						
7.4399	3.82	517.17						
7.8999	3.81	515.52						
8.2700	3.80	510.76						
8.4399	3.82	513.79						
8.6401	3.81	517.31						
9.0801	3.81	515.86						
9.4502	3.81	515.45						
9.8101	3.81	512.76						
10.1700	3.80	510.07						
10.6200	3.79	512.07						
11.0100	3.80	516.48						
11.3900	3.80	515.10						
11.7700	3.80	514.21						
12.1500	3.78	511.38						
12.5300	3.80	510.41						
13.0100	3.77	514.34						
13.4000	3.80	518.76						
13.7800	3.82	517.72						
14.1600	3.81	515.38						
14.5300	3.84	512.07						
14.9800	3.84	513.86						
15.3300	3.89	518.90						
15.5000	3.93	518.76						
15.6800	3.92	517.86						
16.0400	3.95	512.62						
16.4800	4.01	510.90						
16.8300	3.99	513.24						
17.2800	4.04	514.21						
17.6400	4.05	510.83						
