HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	DCAL
m	in
0.0180	0.1655
0.1704	0.1182
0.3228	0.4661
0.4752	1.8343
0.6276	2.0198
0.7800	1.9534
0.9324	2.0039
1.0848	1.9380
1.2372	1.7470
1.3896	1.4647
1.5420	1.3404
1.6944	1.0418
1.8468	0.9099
1.9992	0.4876
2.1516	0.3233
2.3040	0.3005
2.4564	0.2538
2.6088	0.3082
2.7612	0.3024
2.9136	0.3652
3.0660	0.3091
3.2184	0.2324
3.3708	0.2058
3.5232	0.3303
3.6756	0.2367
3.8280	0.1341
3.9804	0.2518
4.1328	0.3192
4.2852	0.1882
4.4376	0.1604
4.5900	0.1642
4.7424	0.2257
4.8948	0.2776
5.0472	0.2290
5.1996	0.5495
5.3520	0.9709
5.5044	1.2541
5.6568	1.4453
5.8092	1.5632
5.9616	1.6373
6.1140	1.7138
6.2664	1.6816
6.4188	1.5393
6.5712	1.2877
6.7236	1.0647
6.8760	1.2622
7.0284	1.4002
7.1808	1.7007
7.3332	1.6596
7.4856	1.5148
7.6380	0.8720
7.7904	0.4843
7.9428	0.6560
8.0952	1.1480
8.2476	1.5150
8.4000	1.6750
8.5524	1.7066
8.7048	1.8047
8.8572	1.8463
9.0096	2.0357
9.1620	2.0581
9.3144	1.9179
9.4668	1.8788
9.6192	1.8403
9.7716	1.8091
9.9240	1.5202
10.0764	1.3821
10.2288	1.2477
10.3812	1.3090
10.5336	1.3213
10.6860	1.3906
10.8384	1.4075
10.9908	1.3297
11.1432	1.0717
11.2956	0.8662
11.4480	0.7091
11.6004	0.7217
11.7528	0.7055
11.9052	0.5941
12.0576	0.5754
12.2100	0.5884
12.3624	0.6036
12.5148	0.6337
12.6672	0.4895
12.8196	0.4071
12.9720	0.3356
13.1244	0.6162
13.2768	0.9555
13.4292	1.2181
13.5816	1.0644
13.7340	0.9104
13.8864	0.8212
14.0388	0.8672
14.1912	1.0301
14.3436	1.0672
14.4960	1.1078
14.6484	1.1664
14.8008	1.3441
14.9532	1.5770
15.1056	1.6193
15.2580	1.7482
15.4104	1.6686
15.5628	1.5156
15.7152	1.6172
15.8676	1.6281
16.0200	1.7811
16.1724	1.7617
16.3248	1.9332
16.4772	1.8215
16.6296	1.8498
16.7820	1.8782
16.9344	1.6311
17.0868	1.5046
17.2392	1.4290
17.3916	1.6693
17.5440	1.8670
17.6964	1.9826
17.8488	1.8466
18.0012	1.7596
18.1536	1.7551
18.3060	1.6941
18.4584	1.7053
18.6108	1.7424
18.7632	1.8394
18.9156	1.7863
19.0680	1.8052
19.2204	1.8768
19.3728	1.8252
19.5252	1.7000
19.6776	1.6400
19.8300	1.7210
19.9824	1.6494
20.1348	1.6034
20.2872	1.5438
20.4396	1.6003
20.5920	1.5070
20.7444	1.0465
20.8968	0.7176
21.0492	0.9166
21.2016	1.4707
21.3540	1.6984
21.5064	1.6000
21.6588	1.2137
21.8112	0.8842
21.9636	0.8039
22.1160	1.0357
22.2684	1.3761
22.4208	1.2956
22.5732	0.9917
22.7256	0.8211
22.8780	0.9103
23.0304	0.9730
23.1828	0.9997
23.3352	0.9286
23.4876	0.9312
23.6400	1.0279
23.7924	1.0503
23.9448	1.1031
24.0972	0.9197
24.2496	0.8385
24.4020	0.5933
24.5544	0.2676
24.7068	0.3160
24.8592	0.6009
25.0116	0.5728
25.1640	0.3383
25.3164	0.4702
25.4688	0.7267
25.6212	0.8471
25.7736	0.9314
25.9260	1.1381
26.0784	1.4815
26.2308	1.6185
26.3832	1.6873
26.5356	1.6653
26.6880	1.4592
26.8404	1.1392
26.9928	0.6312
27.1452	0.5380
27.2976	0.6820
27.4500	1.0646
27.6024	1.2223
27.7548	1.2915
27.9072	1.2390
28.0596	1.1870
28.2120	1.2298
28.3644	1.2409
28.5168	1.1379
28.6692	1.0684
28.8216	0.9978
28.9740	0.9161
29.1264	0.9285
29.2788	1.1755
29.4312	1.5465
29.5836	1.5354
29.7360	1.4709
29.8884	1.4088
30.0408	1.4503
30.1932	1.4155
30.3456	1.4178
30.4980	1.3486
30.6504	1.1000
30.8028	0.8816
30.9552	0.6733
31.1076	0.6839
31.2600	0.6722
31.4124	0.7891
31.5648	0.9764
31.7172	1.1630
31.8696	1.0746
32.0220	0.8894
32.1744	0.8848
32.3268	0.8392
32.4792	0.7525
32.6316	0.8281
32.7840	0.8615
32.9364	0.9838
33.0888	1.0152
33.2412	1.0144
33.3936	0.9596
33.5460	0.9866
33.6984	1.1032
33.8508	1.2144
34.0032	1.2240
34.1556	1.1254
34.3080	0.9989
34.4604	1.0034
34.6128	1.0449
34.7652	0.9890
34.9176	1.0157
35.0700	0.8202
35.2224	0.5983
35.3748	0.3919
35.5272	0.3441
35.6796	0.3620
35.8320	0.4781
35.9844	0.5589
36.1368	0.4505
36.2892	0.5649
36.4416	0.5574
36.5940	0.5903
36.7464	0.6729
36.8988	0.9087
37.0512	1.0415
37.2036	1.0766
37.3560	0.9154
37.5084	0.7429
37.6608	0.7020
37.8132	0.6927
37.9656	0.7174
38.1180	0.5140
38.2704	0.4767
38.4228	0.4840
38.5752	0.6799
38.7276	0.6784
38.8800	0.6566
39.0324	0.6049
39.1848	0.6718
39.3372	0.6483
39.4896	0.6443
39.6420	0.5789
39.7944	0.6920
39.9468	0.7261
40.0992	0.6535
40.2516	0.5354
40.4040	0.4093
40.5564	0.3586
40.7088	0.2913
40.8612	0.1189
41.0136	0.1741
41.1660	0.3342
41.3184	0.4476
41.4708	0.6640
41.6232	0.9375
41.7756	1.0992
41.9280	0.9888
42.0804	0.8520
42.2328	0.7946
42.3852	0.8022
42.5376	0.8113
42.6900	0.9791
42.8424	1.1843
42.9948	1.2329
43.1472	1.0676
43.2996	0.7736
43.4520	0.6147
43.6044	0.4664
43.7568	0.3876
43.9092	0.2805
44.0616	0.3591
44.2140	0.5726
44.3664	0.7474
44.5188	0.6442
44.6712	0.3989
44.8236	0.1656
44.9760	0.3643
45.1284	0.5134
45.2808	0.5655
45.4332	0.5779
45.5856	0.4683
45.7380	0.3512
45.8904	0.6387
46.0428	0.9298
46.1952	1.0844
46.3476	1.2005
46.5000	1.1682
46.6524	1.2329
46.8048	1.3066
46.9572	1.2839
47.1096	1.0640
47.2620	0.7184
47.4144	0.5628
47.5668	0.6244
47.7192	0.6703
47.8716	0.5160
48.0240	0.4519
48.1764	0.5226
48.3288	0.4186
48.4812	0.3795
48.6336	0.3421
48.7860	0.3510
48.9384	0.3054
49.0908	0.3599
49.2432	0.4300
49.3956	0.4973
49.5480	0.4847
49.7004	0.4821
49.8528	0.4363
50.0052	0.4941
50.1576	0.5812
50.3100	0.6965
50.4624	0.8419
