HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	RHOB	DRHO	DRRT	PEF
m	g/cm3	g/cm3	g/cm3	barns/e-
0.0180	1.0463	-0.0384	0.0373	1.9774
0.1704	1.0657	-0.0379	0.0255	2.0148
0.3228	1.1249	-0.0341	0.0868	2.2693
0.4752	1.2373	-0.0245	0.2385	2.6641
0.6276	1.3650	-0.0054	0.3705	3.1123
0.7800	1.4625	0.0103	0.4535	3.3898
0.9324	1.4561	0.0075	0.4588	3.4759
1.0848	1.4219	0.0045	0.4106	3.3075
1.2372	1.3616	-0.0004	0.3174	3.0975
1.3896	1.3278	0.0030	0.2414	2.8882
1.5420	1.2972	-0.0036	0.2004	2.6417
1.6944	1.2767	-0.0052	0.1451	2.5532
1.8468	1.2533	-0.0104	0.1161	2.6148
1.9992	1.2231	-0.0099	0.0669	2.5297
2.1516	1.1924	-0.0141	0.0493	2.4534
2.3040	1.1891	-0.0093	0.0463	2.4153
2.4564	1.1878	-0.0097	0.0393	2.4373
2.6088	1.2031	-0.0030	0.0453	2.3625
2.7612	1.1935	-0.0067	0.0459	2.2466
2.9136	1.1968	-0.0033	0.0549	2.3535
3.0660	1.2138	0.0014	0.0438	2.5008
3.2184	1.2336	0.0106	0.0306	2.5189
3.3708	1.2131	0.0021	0.0293	2.4423
3.5232	1.1780	-0.0099	0.0527	2.2586
3.6756	1.1623	-0.0153	0.0397	2.2390
3.8280	1.1693	-0.0160	0.0220	2.2026
3.9804	1.1825	-0.0135	0.0396	2.3597
4.1328	1.2051	-0.0049	0.0466	2.5459
4.2852	1.2191	0.0004	0.0262	2.6669
4.4376	1.2296	0.0017	0.0215	2.5542
4.5900	1.2459	0.0016	0.0206	2.4501
4.7424	1.2648	0.0059	0.0301	2.4273
4.8948	1.2990	0.0108	0.0417	2.4692
5.0472	1.3288	0.0196	0.0378	2.5475
5.1996	1.3541	0.0178	0.0978	2.5839
5.3520	1.3774	0.0254	0.1841	2.7103
5.5044	1.3762	0.0270	0.2371	2.8072
5.6568	1.3708	0.0289	0.2692	2.8414
5.8092	1.3686	0.0285	0.2895	2.7599
5.9616	1.3724	0.0301	0.3063	2.6830
6.1140	1.3747	0.0303	0.3227	2.6164
6.2664	1.3764	0.0314	0.3180	2.6567
6.4188	1.3837	0.0398	0.2967	2.6291
6.5712	1.4023	0.0518	0.2602	2.6900
6.7236	1.4022	0.0539	0.2151	2.6419
6.8760	1.3934	0.0410	0.2494	2.6652
7.0284	1.3930	0.0279	0.2764	2.6054
7.1808	1.4008	0.0208	0.3424	2.7454
7.3332	1.4011	0.0189	0.3343	2.8607
7.4856	1.3729	0.0168	0.2838	2.6631
7.6380	1.3548	0.0191	0.1555	2.4807
7.7904	1.3622	0.0251	0.0881	2.4421
7.9428	1.3893	0.0290	0.1283	2.5007
8.0952	1.4217	0.0335	0.2431	2.7114
8.2476	1.4375	0.0326	0.3328	2.7240
8.4000	1.4369	0.0316	0.3674	2.8159
8.5524	1.4345	0.0300	0.3723	2.8049
8.7048	1.4324	0.0239	0.3918	2.7756
8.8572	1.4385	0.0231	0.4065	2.8115
9.0096	1.4214	0.0164	0.4308	2.7440
9.1620	1.4257	0.0201	0.4399	2.6304
9.3144	1.4382	0.0168	0.4219	2.4861
9.4668	1.4431	0.0209	0.4179	2.4297
9.6192	1.4447	0.0223	0.4108	2.5547
9.7716	1.4542	0.0249	0.4124	2.5407
9.9240	1.4565	0.0298	0.3483	2.6716
10.0764	1.4594	0.0364	0.3187	2.6759
10.2288	1.4470	0.0371	0.2800	2.6922
10.3812	1.4546	0.0387	0.2987	2.7064
10.5336	1.4560	0.0383	0.3025	2.8006
10.6860	1.4586	0.0442	0.3201	2.9098
10.8384	1.4549	0.0373	0.3214	2.6712
10.9908	1.4384	0.0359	0.2927	2.4635
11.1432	1.4473	0.0480	0.2406	2.5697
11.2956	1.4487	0.0612	0.1951	2.7760
11.4480	1.4667	0.0731	0.1661	2.9339
11.6004	1.4687	0.0728	0.1698	2.7881
11.7528	1.4772	0.0766	0.1690	2.5637
11.9052	1.4698	0.0807	0.1401	2.5459
12.0576	1.4716	0.0909	0.1362	2.6374
12.2100	1.4589	0.0861	0.1355	2.5358
12.3624	1.4512	0.0782	0.1367	2.5179
12.5148	1.4492	0.0750	0.1429	2.5021
12.6672	1.4494	0.0767	0.1104	2.7027
12.8196	1.4647	0.0796	0.0950	2.6553
12.9720	1.4645	0.0753	0.0783	2.6249
13.1244	1.4557	0.0614	0.1410	2.5836
13.2768	1.4428	0.0557	0.2124	2.7368
13.4292	1.4291	0.0515	0.2625	2.7052
13.5816	1.4212	0.0577	0.2251	2.6586
13.7340	1.4247	0.0659	0.1941	2.5091
13.8864	1.4282	0.0705	0.1766	2.4021
14.0388	1.4300	0.0696	0.1872	2.3867
14.1912	1.4231	0.0646	0.2189	2.3856
14.3436	1.3984	0.0589	0.2136	2.3860
14.4960	1.3828	0.0528	0.2130	2.4305
14.6484	1.3822	0.0411	0.2240	2.5022
14.8008	1.4063	0.0363	0.2743	2.5351
14.9532	1.4243	0.0302	0.3360	2.6895
15.1056	1.4569	0.0306	0.3714	2.8291
15.2580	1.4559	0.0218	0.4001	2.8485
15.4104	1.4523	0.0228	0.3788	2.8276
15.5628	1.4482	0.0289	0.3410	2.6474
15.7152	1.4362	0.0267	0.3542	2.6040
15.8676	1.4512	0.0208	0.3687	2.7152
16.0200	1.4451	0.0102	0.3980	2.7568
16.1724	1.4302	0.0131	0.3805	2.8888
16.3248	1.4126	0.0159	0.4006	2.8863
16.4772	1.4326	0.0209	0.3956	2.9870
16.6296	1.4378	0.0213	0.4066	2.9788
16.7820	1.4156	0.0199	0.3919	2.9084
16.9344	1.4358	0.0218	0.3569	2.8131
17.0868	1.4429	0.0246	0.3345	2.7240
17.2392	1.4612	0.0379	0.3308	2.8259
17.3916	1.4447	0.0376	0.3727	2.8409
17.5440	1.4392	0.0364	0.4116	2.8450
17.6964	1.4419	0.0316	0.4399	2.7067
17.8488	1.4763	0.0297	0.4415	2.6855
18.0012	1.5031	0.0329	0.4442	2.7096
18.1536	1.5061	0.0424	0.4457	2.6528
18.3060	1.4977	0.0510	0.4230	2.6792
18.4584	1.4782	0.0539	0.4093	2.7795
18.6108	1.4614	0.0532	0.4035	2.8460
18.7632	1.4496	0.0483	0.4152	2.7300
18.9156	1.4541	0.0494	0.4072	2.5894
19.0680	1.4460	0.0509	0.4042	2.6315
19.2204	1.4358	0.0488	0.4107	2.6361
19.3728	1.4195	0.0418	0.3845	2.7034
19.5252	1.4425	0.0468	0.3776	2.7552
19.6776	1.4602	0.0499	0.3788	2.7814
19.8300	1.4835	0.0581	0.4176	2.9721
19.9824	1.4925	0.0568	0.4076	2.9834
20.1348	1.4949	0.0577	0.3982	3.0780
20.2872	1.4812	0.0457	0.3728	2.9097
20.4396	1.4607	0.0398	0.3700	2.8210
20.5920	1.4208	0.0335	0.3184	2.7467
20.7444	1.3873	0.0443	0.2036	2.6689
20.8968	1.3717	0.0510	0.1340	2.6095
21.0492	1.4000	0.0537	0.1841	2.5378
21.2016	1.4204	0.0402	0.3104	2.5022
21.3540	1.4334	0.0425	0.3695	2.4634
21.5064	1.4222	0.0440	0.3392	2.5444
21.6588	1.4284	0.0612	0.2610	2.5987
21.8112	1.4327	0.0687	0.1921	2.4942
21.9636	1.4531	0.0849	0.1829	2.5367
22.1160	1.4518	0.0669	0.2349	2.5321
22.2684	1.4172	0.0391	0.2883	2.4851
22.4208	1.4378	0.0580	0.2848	2.5365
22.5732	1.4533	0.0669	0.2257	2.6103
22.7256	1.4680	0.0742	0.1929	2.7052
22.8780	1.4866	0.0768	0.2223	2.7319
23.0304	1.5081	0.0807	0.2480	2.8102
23.1828	1.5233	0.0881	0.2625	3.0424
