HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	376.9032
DEPTH_LSF	GR
m	gAPI
0.0180	3.0039
0.1704	5.1966
0.3228	8.7542
0.4752	12.4122
0.6276	13.8074
0.7800	15.7490
0.9324	17.3010
1.0848	21.7714
1.2372	26.6136
1.3896	31.2014
1.5420	31.4864
1.6944	29.0116
1.8468	28.1889
1.9992	27.1672
2.1516	27.9041
2.3040	26.8864
2.4564	27.4401
2.6088	27.3481
2.7612	29.3671
2.9136	31.1034
3.0660	33.4793
3.2184	31.2863
3.3708	29.8253
3.5232	28.9156
3.6756	29.8282
3.8280	32.3741
3.9804	32.8263
4.1328	33.1879
4.2852	35.6074
4.4376	35.9748
4.5900	41.4769
4.7424	41.0948
4.8948	41.9223
5.0472	41.2799
5.1996	41.4589
5.3520	42.3764
5.5044	42.9282
5.6568	45.3126
5.8092	45.5866
5.9616	45.8038
6.1140	43.0516
6.2664	44.7006
6.4188	44.6571
6.5712	45.3856
6.7236	43.4654
6.8760	43.5821
7.0284	45.4176
7.1808	46.7006
7.3332	42.1531
7.4856	40.4222
7.6380	38.1187
7.7904	40.9044
7.9428	41.2612
8.0952	42.8005
8.2476	43.2635
8.4000	42.1306
8.5524	43.8053
8.7048	44.1674
8.8572	46.7569
9.0096	47.5777
9.1620	46.4625
9.3144	46.1089
9.4668	45.7293
9.6192	47.7112
9.7716	48.2535
9.9240	46.9353
10.0764	47.9040
10.2288	48.0995
10.3812	48.4269
10.5336	46.6757
10.6860	46.1125
10.8384	48.2154
10.9908	47.8579
11.1432	46.9511
11.2956	43.9385
11.4480	43.2090
11.6004	42.1698
11.7528	43.2614
11.9052	44.2593
12.0576	46.1546
12.2100	47.0333
12.3624	49.7553
12.5148	48.2008
12.6672	47.0636
12.8196	45.0842
12.9720	45.8659
13.1244	45.7639
13.2768	44.2045
13.4292	43.6633
13.5816	45.6731
13.7340	46.4084
13.8864	47.9230
14.0388	48.1164
14.1912	51.6879
14.3436	51.5402
14.4960	50.6972
14.6484	48.3648
14.8008	47.8190
14.9532	43.6253
15.1056	42.6757
15.2580	43.7775
15.4104	45.4436
15.5628	44.6000
15.7152	42.5121
15.8676	43.2168
16.0200	43.5514
16.1724	45.5722
16.3248	49.0532
16.4772	50.2950
16.6296	50.4007
16.7820	48.1078
16.9344	48.4786
17.0868	47.1565
17.2392	47.0892
17.3916	47.5221
17.5440	47.9743
17.6964	46.7637
17.8488	46.3993
18.0012	45.9490
18.1536	45.3025
18.3060	47.6865
18.4584	49.0656
18.6108	52.4561
18.7632	49.9924
18.9156	48.8834
19.0680	46.3262
19.2204	46.5658
19.3728	47.8318
19.5252	48.4733
19.6776	46.4134
19.8300	43.6330
19.9824	43.4443
20.1348	44.9746
20.2872	44.9018
20.4396	45.6960
20.5920	44.1454
20.7444	46.9248
20.8968	45.3049
21.0492	44.2849
21.2016	44.5006
21.3540	41.9415
21.5064	43.0518
21.6588	42.1984
21.8112	44.3945
21.9636	43.1104
22.1160	41.3229
22.2684	41.2257
22.4208	42.3239
22.5732	45.4750
22.7256	48.4970
22.8780	48.8640
23.0304	49.5143
23.1828	49.1526
23.3352	49.7005
23.4876	47.7746
23.6400	49.5141
23.7924	52.1755
23.9448	54.4140
24.0972	54.5961
24.2496	55.0114
24.4020	55.5190
24.5544	55.6122
24.7068	54.6631
24.8592	50.8078
25.0116	53.3392
25.1640	53.6341
25.3164	55.8792
25.4688	54.6343
25.6212	54.5630
25.7736	53.6091
25.9260	52.9669
26.0784	55.1037
26.2308	59.0510
26.3832	59.7761
26.5356	58.3151
26.6880	57.2940
26.8404	54.7341
26.9928	55.6405
27.1452	53.8187
27.2976	55.1006
27.4500	54.5565
27.6024	56.0156
27.7548	55.3787
27.9072	54.3755
28.0596	52.8146
28.2120	50.0640
28.3644	51.4291
28.5168	52.3364
28.6692	54.0800
28.8216	53.3517
28.9740	53.0941
29.1264	52.7068
29.2788	51.9743
29.4312	50.5107
29.5836	51.6093
29.7360	48.3211
29.8884	49.1638
30.0408	46.5965
30.1932	47.8656
30.3456	45.1015
30.4980	46.4123
30.6504	49.3556
30.8028	52.6897
30.9552	52.6806
31.1076	50.1978
31.2600	50.6120
31.4124	51.7054
31.5648	52.1552
31.7172	50.1346
31.8696	49.4247
32.0220	51.0777
32.1744	50.0770
32.3268	50.4497
32.4792	47.7032
32.6316	47.4362
32.7840	46.2611
32.9364	46.4653
33.0888	49.3812
33.2412	50.6285
33.3936	48.5055
33.5460	45.1069
33.6984	42.4420
33.8508	46.0140
34.0032	46.2361
34.1556	46.0541
34.3080	44.7550
34.4604	43.8106
34.6128	44.3804
34.7652	44.8156
34.9176	46.1230
35.0700	46.2946
35.2224	47.2509
35.3748	48.6680
35.5272	49.8881
35.6796	47.9369
35.8320	49.0729
35.9844	50.3202
36.1368	53.1349
36.2892	56.2433
36.4416	56.7835
36.5940	57.5633
36.7464	53.3369
36.8988	51.7856
37.0512	54.2652
37.2036	53.4544
37.3560	55.1267
37.5084	52.7420
37.6608	55.8563
37.8132	56.0231
37.9656	53.6993
38.1180	53.3262
38.2704	52.9555
38.4228	53.8382
38.5752	52.6695
38.7276	51.0427
38.8800	52.9409
39.0324	51.9900
39.1848	52.0727
39.3372	50.6961
39.4896	50.0799
39.6420	48.0529
39.7944	44.6597
39.9468	44.6467
40.0992	48.7377
40.2516	51.3127
40.4040	53.3319
40.5564	52.1292
40.7088	53.5885
40.8612	52.2696
41.0136	50.5517
41.1660	50.9194
41.3184	50.8603
41.4708	51.4357
41.6232	50.7811
41.7756	50.6985
41.9280	53.2475
42.0804	53.3240
42.2328	56.1730
42.3852	55.3612
42.5376	55.6670
42.6900	55.7414
42.8424	55.8305
42.9948	57.3048
43.1472	56.1245
43.2996	56.7702
43.4520	56.5947
43.6044	53.9352
43.7568	53.1072
43.9092	49.3364
44.0616	53.8143
44.2140	54.0879
44.3664	55.9587
44.5188	55.5045
44.6712	54.3129
44.8236	53.4323
44.9760	51.2700
45.1284	51.1809
45.2808	51.2899
45.4332	51.6167
45.5856	50.9701
45.7380	50.5067
45.8904	50.0869
46.0428	52.6604
46.1952	54.6905
46.3476	58.4175
46.5000	59.9645
46.6524	62.9002
46.8048	60.4307
46.9572	59.1638
47.1096	55.4580
47.2620	55.1793
47.4144	56.7263
47.5668	56.9405
47.7192	59.5955
47.8716	57.5968
48.0240	60.3446
48.1764	58.6967
48.3288	57.5826
48.4812	54.5197
48.6336	52.1345
48.7860	53.5071
48.9384	53.5789
49.0908	55.1620
49.2432	54.0580
49.3956	52.5196
49.5480	50.4839
49.7004	49.5689
49.8528	51.0404
50.0052	52.6415
50.1576	56.1299
50.3100	58.1760
50.4624	60.5083
