HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	380.1036
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
0.0180	0.3139	0.2900	0.2780	0.2239	0.3925
0.0485	0.3259	0.2936	0.2698	0.2522	0.3890
0.0790	0.3317	0.2946	0.2796	0.2352	0.3966
0.1094	0.3152	0.2912	0.2823	0.2498	0.3911
0.1399	0.3137	0.3009	0.2787	0.2491	0.3958
0.1704	0.3107	0.2925	0.2754	0.2484	0.4041
0.2009	0.3190	0.3027	0.2764	0.2612	0.4052
0.2314	0.3285	0.3091	0.2752	0.2740	0.4151
0.2618	0.3221	0.3068	0.2843	0.2655	0.3974
0.2923	0.3331	0.3041	0.2928	0.2604	0.4158
0.3228	0.3421	0.3125	0.2882	0.2606	0.4047
0.3533	0.3292	0.3023	0.2865	0.2659	0.4248
0.3838	0.3446	0.3095	0.2880	0.2798	0.3932
0.4142	0.3448	0.3205	0.2884	0.2660	0.4126
0.4447	0.3430	0.3187	0.2886	0.2775	0.4208
0.4752	0.3441	0.3179	0.2964	0.2905	0.4143
0.5057	0.3485	0.3211	0.2919	0.2891	0.4030
0.5362	0.3449	0.3166	0.2928	0.2926	0.4268
0.5666	0.3488	0.3191	0.3007	0.3018	0.4316
0.5971	0.3574	0.3245	0.3059	0.3015	0.4177
0.6276	0.3525	0.3205	0.2931	0.2882	0.4369
0.6581	0.3528	0.3207	0.2995	0.2985	0.4259
0.6886	0.3567	0.3327	0.2987	0.2972	0.4143
0.7190	0.3542	0.3488	0.3053	0.2992	0.4515
0.7495	0.3577	0.3228	0.3092	0.3129	0.4466
0.7800	0.3642	0.3446	0.3100	0.3183	0.4396
0.8105	0.3582	0.3359	0.3123	0.3073	0.4475
0.8410	0.3607	0.3406	0.3339	0.3114	0.4562
0.8714	0.3854	0.3473	0.3198	0.3124	0.4441
0.9019	0.4097	0.3502	0.3110	0.3172	0.4643
0.9324	0.3673	0.3492	0.3115	0.3334	0.4514
0.9629	0.4729	0.3831	0.3065	0.3491	0.4537
0.9934	0.4421	0.3852	0.3061	0.3369	0.4644
1.0238	0.4148	0.3942	0.3376	0.3690	0.4625
