HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	350.6904
DEPTH_LSF	TNPH
m	%
0.0180	85.9747
0.1704	79.2583
0.3228	77.5102
0.4752	70.5351
0.6276	75.2691
0.7800	71.7213
0.9324	70.9113
1.0848	63.7879
1.2372	66.1796
1.3896	71.1565
1.5420	76.3868
1.6944	81.3423
1.8468	79.2556
1.9992	79.8814
2.1516	81.6311
2.3040	77.2324
2.4564	72.5567
2.6088	69.1852
2.7612	69.5624
2.9136	68.5565
3.0660	63.5040
3.2184	68.4403
3.3708	79.1315
3.5232	79.5933
3.6756	71.3065
3.8280	65.1144
3.9804	72.3550
4.1328	77.3838
4.2852	74.0824
4.4376	71.7305
4.5900	65.8997
4.7424	69.7425
4.8948	63.9986
5.0472	65.7022
5.1996	65.8003
5.3520	70.4342
5.5044	72.1955
5.6568	75.4776
5.8092	73.6290
5.9616	69.4368
6.1140	65.5184
6.2664	65.7802
6.4188	72.3880
6.5712	74.2010
6.7236	75.6617
6.8760	73.7347
7.0284	69.9372
7.1808	67.7421
7.3332	64.2663
7.4856	70.2862
7.6380	63.2156
7.7904	61.4253
7.9428	58.3609
8.0952	62.0405
8.2476	65.8736
8.4000	65.8563
8.5524	64.9727
8.7048	58.1656
8.8572	56.0173
9.0096	57.2225
9.1620	61.8735
9.3144	63.7728
9.4668	63.6079
9.6192	64.0959
9.7716	69.5153
9.9240	67.1728
10.0764	69.3271
10.2288	68.2368
10.3812	70.6552
10.5336	68.9801
10.6860	66.5889
10.8384	64.4711
10.9908	63.8829
11.1432	60.3453
11.2956	63.4302
11.4480	69.4684
11.6004	79.5179
11.7528	80.8034
11.9052	73.3338
12.0576	61.6188
12.2100	59.7185
12.3624	54.7200
12.5148	60.3822
12.6672	60.6648
12.8196	71.2548
12.9720	66.5415
13.1244	67.4820
13.2768	65.6497
13.4292	68.1832
13.5816	67.9701
13.7340	67.4906
13.8864	70.5008
14.0388	69.4651
14.1912	70.8652
14.3436	66.3705
14.4960	73.6680
14.6484	66.9905
14.8008	67.9751
14.9532	63.0148
15.1056	70.4179
15.2580	68.8579
15.4104	75.0181
15.5628	69.3545
15.7152	71.0094
15.8676	66.0603
16.0200	67.0427
16.1724	70.7858
16.3248	72.0361
16.4772	76.6699
16.6296	71.5512
16.7820	62.7136
16.9344	62.9534
17.0868	68.4262
17.2392	71.3931
17.3916	66.3633
17.5440	64.5504
17.6964	68.1730
17.8488	71.2290
18.0012	67.8240
18.1536	71.3035
18.3060	69.3108
18.4584	66.8940
18.6108	65.4549
18.7632	59.7469
18.9156	57.7368
19.0680	56.6352
19.2204	57.8724
19.3728	62.4610
19.5252	64.5024
19.6776	71.9052
19.8300	76.0230
19.9824	72.4104
20.1348	72.4450
20.2872	67.7864
20.4396	70.3596
20.5920	69.7354
20.7444	69.1253
20.8968	68.3129
21.0492	66.5813
21.2016	68.0670
21.3540	67.9276
21.5064	67.1128
21.6588	63.4898
21.8112	64.5389
21.9636	70.4641
22.1160	73.5040
22.2684	68.9042
22.4208	64.2362
22.5732	63.0116
22.7256	63.1544
22.8780	65.0850
23.0304	71.8807
23.1828	82.8247
23.3352	89.1154
23.4876	86.4348
23.6400	79.9970
23.7924	70.6662
23.9448	67.2157
24.0972	66.5890
24.2496	69.5342
24.4020	68.6752
24.5544	63.3758
24.7068	65.4019
24.8592	65.1734
25.0116	66.4458
25.1640	61.2740
25.3164	63.1777
25.4688	62.5607
25.6212	67.7990
25.7736	63.7670
25.9260	71.0832
26.0784	65.8688
26.2308	68.3542
26.3832	64.6918
26.5356	69.9694
26.6880	69.5912
26.8404	68.3091
26.9928	65.2383
27.1452	66.3408
27.2976	70.4474
27.4500	68.3725
27.6024	66.8542
27.7548	62.4416
27.9072	62.0637
28.0596	59.9165
28.2120	59.6727
28.3644	56.7848
28.5168	56.8487
28.6692	58.4531
28.8216	61.7536
28.9740	63.1470
29.1264	61.2488
29.2788	64.7194
29.4312	65.9716
29.5836	73.3319
29.7360	69.7915
29.8884	67.5957
30.0408	61.4177
30.1932	61.2569
30.3456	61.0321
30.4980	61.6900
30.6504	60.6511
30.8028	63.0415
30.9552	67.5352
31.1076	69.8142
31.2600	71.0545
31.4124	68.1422
31.5648	66.6555
31.7172	64.7907
31.8696	62.7200
32.0220	59.7018
32.1744	60.5491
32.3268	60.0991
32.4792	64.8391
32.6316	67.7132
32.7840	73.8824
32.9364	71.6430
33.0888	68.6735
33.2412	63.2559
33.3936	62.4695
33.5460	65.0772
33.6984	65.2122
33.8508	66.7895
34.0032	62.8937
34.1556	61.5920
34.3080	59.6815
34.4604	61.3521
34.6128	63.2696
34.7652	64.1093
34.9176	60.9422
35.0700	60.4411
35.2224	63.1716
35.3748	65.9510
35.5272	72.5146
35.6796	73.8720
35.8320	75.2238
35.9844	69.1467
36.1368	64.0799
36.2892	61.9377
36.4416	60.4585
36.5940	58.6940
36.7464	59.2333
36.8988	59.9870
37.0512	62.1525
37.2036	65.1360
37.3560	65.3823
37.5084	71.9572
37.6608	65.1288
37.8132	69.4353
37.9656	67.8879
38.1180	71.6184
38.2704	68.6181
38.4228	64.6719
38.5752	69.5056
38.7276	71.5172
38.8800	71.6581
39.0324	65.0885
39.1848	68.8288
39.3372	66.7104
39.4896	66.7203
39.6420	61.9056
39.7944	64.9195
39.9468	61.2546
40.0992	62.6977
40.2516	60.5707
40.4040	69.4763
40.5564	71.6852
40.7088	77.2377
40.8612	77.3440
41.0136	77.7455
41.1660	69.7963
41.3184	66.2243
41.4708	67.9571
41.6232	73.7528
41.7756	67.4684
41.9280	61.6718
42.0804	57.3395
42.2328	60.4563
42.3852	57.9031
42.5376	58.2526
42.6900	57.6038
42.8424	64.0171
42.9948	64.3361
43.1472	62.5864
43.2996	63.2912
43.4520	69.8855
43.6044	71.5274
43.7568	61.8669
43.9092	58.9808
44.0616	57.8614
44.2140	61.1571
44.3664	64.9285
44.5188	68.9161
44.6712	70.8125
44.8236	72.7017
44.9760	67.6405
45.1284	63.1683
45.2808	60.2199
45.4332	62.3446
45.5856	62.4884
45.7380	62.7063
45.8904	59.0297
46.0428	61.7350
46.1952	58.2226
46.3476	57.5659
46.5000	54.2856
46.6524	56.9989
46.8048	63.6954
46.9572	68.4393
47.1096	64.5766
47.2620	62.8872
47.4144	64.7247
47.5668	70.8171
47.7192	68.3463
47.8716	65.5780
48.0240	62.2017
48.1764	63.9959
48.3288	61.3868
48.4812	57.2149
48.6336	54.1205
48.7860	55.9069
48.9384	59.2098
49.0908	65.1625
49.2432	67.9723
49.3956	70.4464
49.5480	62.8875
49.7004	59.9495
49.8528	60.4217
50.0052	59.1579
50.1576	61.6660
50.3100	61.5809
50.4624	71.3705
