HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	64.0016
DEPTH_WMSF	DCAL
m	in
0.1460	0.1001
0.2984	0.0642
0.4508	0.0873
0.6032	0.0760
0.7556	0.2006
0.9080	0.8432
1.0604	0.7480
1.2128	0.3613
1.3652	0.3528
1.5176	0.3743
1.6700	0.2802
1.8224	0.3843
1.9748	0.3448
2.1272	0.2493
2.2796	0.4062
2.4320	0.7875
2.5844	0.7894
2.7368	0.4648
2.8892	0.1629
3.0416	0.4071
3.1940	1.0864
3.3464	1.5433
3.4988	1.5488
3.6512	1.6213
3.8036	1.5034
3.9560	1.3366
4.1084	0.9583
4.2608	0.7799
4.4132	0.3880
4.5656	0.6599
4.7180	0.9914
4.8704	1.2239
5.0228	1.4404
5.1752	1.5383
5.3276	1.3967
5.4800	1.3508
5.6324	1.1833
5.7848	1.0437
5.9372	1.2193
6.0896	1.0328
6.2420	0.8741
6.3944	0.7108
6.5468	0.9196
6.6992	0.8668
6.8516	0.9758
7.0040	1.0726
7.1564	1.0810
7.3088	0.9878
7.4612	0.9962
7.6136	0.9872
7.7660	0.8778
7.9184	0.7292
8.0708	0.7030
8.2232	0.6041
8.3756	0.5593
8.5280	0.3733
8.6804	0.2975
8.8328	0.2672
8.9852	0.2795
9.1376	0.3305
9.2900	0.2619
9.4424	0.1150
9.5948	0.0803
9.7472	0.2601
9.8996	0.4594
10.0520	0.2470
10.2044	0.0865
10.3568	0.2298
10.5092	0.3905
10.6616	0.2583
10.8140	0.3169
10.9664	0.3899
11.1188	0.2232
11.2712	0.1501
11.4236	0.2134
11.5760	0.1153
11.7284	0.1706
11.8808	0.3059
12.0332	0.3331
12.1856	0.3811
12.3380	0.2894
12.4904	0.0683
12.6428	0.2498
12.7952	0.2594
12.9476	0.3283
13.1000	0.4125
13.2524	0.3907
13.4048	0.4457
13.5572	0.4504
13.7096	0.5798
13.8620	0.6241
14.0144	0.5837
14.1668	0.5233
14.3192	0.4969
14.4716	0.4515
14.6240	0.4599
14.7764	0.1733
14.9288	0.2219
15.0812	0.2172
15.2336	0.3623
15.3860	0.1231
15.5384	0.1458
15.6908	0.4173
15.8432	0.4650
15.9956	0.3224
16.1480	0.4410
16.3004	0.7438
16.4528	0.8855
16.6052	0.9132
16.7576	0.8314
16.9100	0.7022
17.0624	0.6350
17.2148	0.7019
17.3672	0.7280
17.5196	0.6021
17.6720	0.5073
17.8244	0.6183
17.9768	0.6919
18.1292	0.7622
18.2816	0.6351
18.4340	0.5267
18.5864	0.4269
18.7388	0.4282
18.8912	0.4834
19.0436	0.4913
19.1960	0.4858
19.3484	0.4872
19.5008	0.5975
19.6532	0.6165
19.8056	0.6742
19.9580	0.6276
20.1104	0.6580
20.2628	0.7319
20.4152	0.7684
20.5676	0.8545
20.7200	0.8425
20.8724	0.8548
21.0248	0.7676
21.1772	0.7935
21.3296	0.6664
21.4820	0.4468
21.6344	0.2911
21.7868	0.2751
21.9392	0.2681
22.0916	0.3349
22.2440	0.3511
22.3964	0.3974
22.5488	0.2570
22.7012	0.1539
22.8536	0.0618
23.0060	0.2394
23.1584	0.3308
23.3108	0.2972
23.4632	0.2794
23.6156	0.2291
23.7680	0.1493
23.9204	0.2085
24.0728	0.3116
24.2252	0.3970
24.3776	0.4802
24.5300	0.3518
24.6824	0.2237
24.8348	0.1899
24.9872	0.1205
25.1396	0.0986
25.2920	0.2448
25.4444	0.3778
25.5968	0.3552
25.7492	0.4659
25.9016	0.4102
26.0540	0.4875
26.2064	0.4932
26.3588	0.5461
26.5112	0.5186
26.6636	0.4807
26.8160	0.4015
26.9684	0.4321
27.1208	0.4362
27.2732	0.4265
27.4256	0.2973
27.5780	0.2446
27.7304	0.2078
27.8828	0.3198
28.0352	0.3099
28.1876	0.1831
28.3400	0.0941
28.4924	0.0876
28.6448	0.2152
28.7972	0.3483
28.9496	0.3917
29.1020	0.4291
