HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	64.0016
DEPTH_LSF	RHOB	DRHO	DRRT	PEF
m	g/cm3	g/cm3	g/cm3	barns/e-
0.1460	1.0222	-0.0472	0.0238	1.9413
0.2984	1.0232	-0.0468	0.0152	2.0022
0.4508	1.0306	-0.0437	0.0204	2.1315
0.6032	1.0591	-0.0371	0.0167	2.2855
0.7556	1.1091	-0.0313	0.0389	2.4527
0.9080	1.2156	-0.0116	0.1188	2.6241
1.0604	1.3215	0.0175	0.1209	2.7093
1.2128	1.4059	0.0488	0.0737	2.7810
1.3652	1.4045	0.0617	0.0717	2.8311
1.5176	1.4120	0.0686	0.0774	2.8993
1.6700	1.4389	0.0858	0.0617	2.9563
1.8224	1.4802	0.0984	0.0926	2.9185
1.9748	1.4979	0.1011	0.0862	2.8303
2.1272	1.5014	0.0951	0.0627	2.7092
2.2796	1.4860	0.0732	0.0991	2.6815
2.4320	1.4829	0.0596	0.1908	2.7061
2.5844	1.5067	0.0732	0.2007	2.6144
2.7368	1.4222	0.0574	0.0986	2.7573
2.8892	1.3706	0.0504	0.0303	2.6126
3.0416	1.3112	0.0256	0.0637	2.7633
3.1940	1.3396	0.0208	0.1855	2.7019
3.3464	1.3679	0.0171	0.2853	2.6319
3.4988	1.3799	0.0223	0.2956	2.7492
3.6512	1.3607	0.0201	0.2938	2.9580
3.8036	1.3582	0.0215	0.2706	3.0440
3.9560	1.3275	0.0144	0.2200	3.0315
4.1084	1.3234	0.0189	0.1558	2.9017
4.2608	1.2999	0.0210	0.1177	2.8832
4.4132	1.2921	0.0209	0.0570	2.7131
4.5656	1.2958	0.0204	0.0982	2.4036
4.7180	1.2929	0.0159	0.1461	2.4299
4.8704	1.3025	0.0158	0.1862	2.4713
5.0228	1.3334	0.0253	0.2414	2.8540
5.1752	1.3706	0.0286	0.2865	2.9335
5.3276	1.4023	0.0402	0.2822	2.9982
5.4800	1.3753	0.0323	0.2547	3.0440
5.6324	1.3129	0.0219	0.1862	3.0696
5.7848	1.2760	0.0170	0.1450	3.0499
5.9372	1.2581	0.0103	0.1584	3.0679
6.0896	1.2460	0.0079	0.1298	3.0248
6.2420	1.2040	-0.0106	0.1282	3.0440
6.3944	1.1929	-0.0153	0.1082	2.9921
6.5468	1.2430	-0.0132	0.1169	3.0211
6.6992	1.3425	0.0047	0.1492	3.0020
6.8516	1.4168	0.0257	0.2043	3.0195
7.0040	1.4296	0.0368	0.2314	2.9711
7.1564	1.4077	0.0345	0.2213	3.0256
7.3088	1.3999	0.0306	0.1984	2.9011
7.4612	1.3986	0.0341	0.1994	2.9191
7.6136	1.4107	0.0436	0.2036	3.1037
7.7660	1.4163	0.0475	0.1835	3.1250
7.9184	1.4266	0.0528	0.1562	3.0156
8.0708	1.3976	0.0393	0.1404	2.7528
8.2232	1.3885	0.0396	0.1179	2.6785
8.3756	1.3783	0.0327	0.1063	2.6154
8.5280	1.4164	0.0441	0.0780	2.5784
8.6804	1.4489	0.0488	0.0670	2.6313
8.8328	1.4888	0.0593	0.0655	2.7592
8.9852	1.5122	0.0628	0.0718	2.7452
9.1376	1.5292	0.0654	0.0877	2.8312
9.2900	1.5313	0.0674	0.0698	2.8654
9.4424	1.5267	0.0696	0.0304	3.0940
9.5948	1.5105	0.0658	0.0206	3.0834
9.7472	1.4044	0.0315	0.0528	3.2176
9.8996	1.2432	-0.0073	0.0584	2.9656
10.0520	1.1012	-0.0328	0.0489	2.5640
10.2044	1.0704	-0.0341	0.0185	2.3330
10.3568	1.1476	-0.0301	0.0402	2.5724
10.5092	1.3083	-0.0067	0.0605	2.8262
10.6616	1.4398	0.0230	0.0570	2.9385
10.8140	1.4761	0.0420	0.0757	3.1830
10.9664	1.4750	0.0471	0.0929	3.2820
11.1188	1.4625	0.0405	0.0518	3.2885
11.2712	1.4611	0.0395	0.0347	3.0668
11.4236	1.4607	0.0374	0.0494	3.0299
11.5760	1.4717	0.0393	0.0273	2.9366
11.7284	1.4874	0.0463	0.0417	2.9610
11.8808	1.4904	0.0481	0.0753	2.9948
12.0332	1.4951	0.0490	0.0828	2.9650
12.1856	1.4945	0.0470	0.0946	2.8498
12.3380	1.4947	0.0458	0.0718	2.7967
12.4904	1.4753	0.0448	0.0163	2.7110
12.6428	1.4675	0.0475	0.0586	2.8447
12.7952	1.4810	0.0541	0.0626	2.8884
12.9476	1.5050	0.0590	0.0832	2.8793
13.1000	1.5118	0.0588	0.1059	2.9361
13.2524	1.4936	0.0457	0.0968	2.9760
13.4048	1.4915	0.0400	0.1099	3.0821
13.5572	1.4881	0.0310	0.1103	3.0385
13.7096	1.4889	0.0311	0.1423	2.9194
13.8620	1.4909	0.0292	0.1538	2.8784
14.0144	1.4978	0.0273	0.1458	2.8298
14.1668	1.5149	0.0335	0.1352	2.7663
14.3192	1.5269	0.0374	0.1314	2.6962
14.4716	1.5434	0.0479	0.1231	2.7886
14.6240	1.5066	0.0372	0.1169	2.7885
14.7764	1.4842	0.0399	0.0421	2.8738
14.9288	1.4610	0.0326	0.0513	3.0114
15.0812	1.3712	0.0175	0.0405	3.1457
15.2336	1.2036	-0.0178	0.0532	2.9542
15.3860	1.0975	-0.0279	0.0246	2.5707
15.5384	1.0816	-0.0384	0.0303	2.9065
15.6908	1.2069	-0.0288	0.0606	3.1788
15.8432	1.3542	-0.0129	0.0828	3.4927
15.9956	1.5141	0.0243	0.0832	3.2591
16.1480	1.5230	0.0288	0.1157	3.2029
16.3004	1.4605	0.0162	0.1719	3.2963
16.4528	1.4567	0.0166	0.2030	3.2755
16.6052	1.4608	0.0146	0.2112	3.1570
16.7576	1.5069	0.0295	0.2114	2.9435
16.9100	1.5106	0.0357	0.1799	2.9786
17.0624	1.4958	0.0461	0.1580	3.1810
17.2148	1.4231	0.0334	0.1491	3.1486
17.3672	1.3591	0.0189	0.1314	2.9308
17.5196	1.3333	0.0060	0.1009	2.7851
17.6720	1.3976	0.0206	0.1013	2.8059
17.8244	1.4580	0.0308	0.1422	2.9222
17.9768	1.4921	0.0370	0.1709	2.9602
18.1292	1.5009	0.0435	0.1916	3.1149
18.2816	1.5197	0.0477	0.1656	3.1871
18.4340	1.5409	0.0573	0.1429	3.2164
18.5864	1.5361	0.0533	0.1148	3.1666
18.7388	1.5253	0.0426	0.1128	3.0325
18.8912	1.5286	0.0438	0.1282	3.1270
19.0436	1.5327	0.0475	0.1313	2.9914
19.1960	1.5258	0.0469	0.1282	3.0608
19.3484	1.4997	0.0367	0.1222	3.0831
19.5008	1.4446	0.0262	0.1334	3.0974
19.6532	1.4055	0.0189	0.1256	3.0368
19.8056	1.4043	0.0153	0.1369	2.9773
19.9580	1.4520	0.0181	0.1424	3.0618
20.1104	1.5001	0.0265	0.1651	3.2038
20.2628	1.5024	0.0221	0.1845	3.0963
20.4152	1.5046	0.0190	0.1946	3.0843
20.5676	1.5027	0.0094	0.2155	3.0362
20.7200	1.5307	0.0222	0.2243	3.1640
20.8724	1.5411	0.0246	0.2320	3.1881
21.0248	1.5579	0.0281	0.2148	3.2741
21.1772	1.5672	0.0299	0.2258	3.3923
21.3296	1.5712	0.0337	0.1909	3.5478
21.4820	1.5680	0.0406	0.1273	3.4607
21.6344	1.5533	0.0404	0.0808	3.2273
21.7868	1.5319	0.0334	0.0734	2.9384
21.9392	1.5135	0.0256	0.0691	2.8434
22.0916	1.5172	0.0273	0.0869	2.9799
22.2440	1.5393	0.0336	0.0950	3.1329
22.3964	1.5476	0.0331	0.1092	3.2572
22.5488	1.5550	0.0367	0.0716	3.2336
22.7012	1.5552	0.0367	0.0429	3.2603
22.8536	1.5576	0.0347	0.0173	3.0568
23.0060	1.5495	0.0263	0.0660	2.9413
23.1584	1.5544	0.0253	0.0920	3.0216
23.3108	1.5706	0.0288	0.0851	3.1591
23.4632	1.5913	0.0382	0.0828	3.0854
23.6156	1.5871	0.0367	0.0675	2.9175
23.7680	1.5740	0.0306	0.0430	3.0045
23.9204	1.5725	0.0278	0.0599	3.2078
24.0728	1.5761	0.0278	0.0900	3.3138
24.2252	1.5858	0.0350	0.1166	3.2549
24.3776	1.5869	0.0355	0.1414	3.0237
24.5300	1.5857	0.0330	0.1033	3.0815
24.6824	1.5894	0.0355	0.0661	3.0356
24.8348	1.5734	0.0362	0.0546	3.1132
24.9872	1.5591	0.0325	0.0338	3.0349
25.1396	1.5347	0.0164	0.0265	3.0441
25.2920	1.5490	0.0153	0.0674	3.0592
25.4444	1.5483	0.0167	0.1039	3.0118
25.5968	1.5469	0.0243	0.0974	2.9923
25.7492	1.5360	0.0257	0.1253	2.9916
25.9016	1.5331	0.0252	0.1097	3.0759
26.0540	1.5376	0.0231	0.1315	3.0128
26.2064	1.5293	0.0199	0.1310	3.0241
26.3588	1.5379	0.0246	0.1474	3.0388
26.5112	1.5413	0.0296	0.1408	3.1469
26.6636	1.5407	0.0281	0.1304	3.2290
26.8160	1.5296	0.0203	0.1067	3.3786
26.9684	1.5235	0.0200	0.1135	3.4913
27.1208	1.5173	0.0205	0.1132	3.4403
27.2732	1.5252	0.0225	0.1124	3.1719
27.4256	1.5227	0.0195	0.0780	3.1766
27.5780	1.5348	0.0207	0.0656	3.0436
27.7304	1.5373	0.0217	0.0560	2.9680
27.8828	1.5447	0.0242	0.0874	2.7657
28.0352	1.5417	0.0235	0.0842	2.8068
28.1876	1.5378	0.0230	0.0494	2.9160
28.3400	1.5248	0.0197	0.0248	2.9855
28.4924	1.5193	0.0181	0.0228	3.0219
28.6448	1.5150	0.0162	0.0556	3.0800
28.7972	1.5130	0.0121	0.0896	3.0862
28.9496	1.5210	0.0105	0.1024	2.9269
29.1020	1.5301	0.0143	0.1141	3.0423
29.2544	1.5481	0.0200	0.1147	3.0846
29.4068	1.5540	0.0299	0.1336	3.4010
29.5592	1.5485	0.0248	0.1398	3.1548
29.7116	1.5422	0.0220	0.1223	3.1238
