HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	88.2332
DEPTH_LSF	GR
m	gAPI
0.1460	6.7896
0.2984	9.9071
0.4508	17.2967
0.6032	25.9424
0.7556	33.3568
0.9080	37.5217
1.0604	37.5848
1.2128	38.7282
1.3652	40.2384
1.5176	42.2337
1.6700	43.3663
1.8224	43.9181
1.9748	46.8263
2.1272	48.9891
2.2796	51.2056
2.4320	50.3406
2.5844	49.1696
2.7368	46.8906
2.8892	46.4573
3.0416	47.5622
3.1940	49.3902
3.3464	48.3708
3.4988	47.1442
3.6512	45.5135
3.8036	49.0532
3.9560	47.9181
4.1084	47.3879
4.2608	42.3484
4.4132	40.4848
4.5656	38.9230
4.7180	39.8675
4.8704	40.9946
5.0228	42.6600
5.1752	45.3495
5.3276	44.5716
5.4800	40.3828
5.6324	35.7720
5.7848	37.2701
5.9372	38.1870
6.0896	37.3197
6.2420	34.4218
6.3944	35.1081
6.5468	38.6148
6.6992	41.2684
6.8516	43.6200
7.0040	45.3001
7.1564	46.7713
7.3088	45.6306
7.4612	45.0440
7.6136	44.7548
7.7660	44.6136
7.9184	45.1909
8.0708	44.6218
8.2232	45.5247
8.3756	45.0546
8.5280	46.2090
8.6804	45.7295
8.8328	46.0273
8.9852	45.5460
9.1376	47.4441
9.2900	44.0998
9.4424	42.4537
9.5948	36.4203
9.7472	33.0712
9.8996	26.9636
10.0520	24.7166
10.2044	26.1635
10.3568	33.3095
10.5092	39.0505
10.6616	42.1118
10.8140	41.9812
10.9664	43.2726
11.1188	44.4700
11.2712	44.1019
11.4236	42.9681
11.5760	42.4706
11.7284	43.2080
11.8808	46.5117
12.0332	47.3333
12.1856	48.8087
12.3380	47.9181
12.4904	49.0485
12.6428	46.9244
12.7952	47.2223
12.9476	46.1703
13.1000	47.4602
13.2524	46.4775
13.4048	47.3263
13.5572	48.1962
13.7096	48.7681
13.8620	48.0728
14.0144	48.2071
14.1668	48.9954
14.3192	48.6038
14.4716	47.1739
14.6240	44.2493
14.7764	42.1999
14.9288	37.2269
15.0812	33.6654
15.2336	31.3252
15.3860	35.5303
15.5384	37.9323
15.6908	42.3679
15.8432	41.0486
15.9956	42.7082
16.1480	41.3957
16.3004	43.5125
16.4528	43.9429
16.6052	45.1825
16.7576	45.3912
16.9100	48.1187
17.0624	47.8730
17.2148	48.0068
17.3672	44.6411
17.5196	45.1721
17.6720	44.8526
17.8244	47.0720
17.9768	47.5124
18.1292	47.5841
18.2816	48.0030
18.4340	49.0508
18.5864	48.0656
18.7388	45.9665
18.8912	42.5613
19.0436	43.5987
19.1960	43.8217
19.3484	45.5951
19.5008	47.0211
19.6532	48.3716
19.8056	49.4124
19.9580	47.8679
20.1104	47.4500
20.2628	46.9664
20.4152	48.9420
20.5676	48.5408
20.7200	48.9443
20.8724	49.5757
21.0248	52.1318
21.1772	53.7907
21.3296	53.2151
21.4820	52.3251
21.6344	51.5241
21.7868	50.5861
21.9392	53.0247
22.0916	52.2733
22.2440	53.9748
22.3964	50.4093
22.5488	51.5304
22.7012	50.8633
22.8536	50.8599
23.0060	49.9335
23.1584	50.2975
23.3108	52.0925
23.4632	53.3632
23.6156	54.1537
23.7680	53.3110
23.9204	52.9436
24.0728	50.1127
24.2252	50.0017
24.3776	51.5636
24.5300	52.5767
24.6824	52.7976
24.8348	51.8780
24.9872	51.4644
25.1396	51.4330
25.2920	49.1958
25.4444	46.6625
25.5968	45.8746
25.7492	47.9844
25.9016	50.5459
26.0540	51.9727
26.2064	51.6589
26.3588	52.7448
26.5112	52.8542
26.6636	53.6587
26.8160	54.6130
26.9684	54.3280
27.1208	50.8975
27.2732	49.3923
27.4256	49.7010
27.5780	51.5904
27.7304	51.3256
27.8828	50.1215
28.0352	49.2659
28.1876	48.4955
28.3400	47.3094
28.4924	44.6784
28.6448	45.7579
28.7972	47.7328
28.9496	49.8688
29.1020	48.2910
