HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	91.4336
DEPTH_LSF	ROP5	GRTK	B3TM	B2TM	B1TM	RTIM	RBTM	DTAB	NTAB	RPM	ARPM
m	m/hr	s	s	s	s	s	s	s	s	rpm	rpm	
0.1460	13912.0605	454.2656	574.0781	614.0156	638.9688	539.1250	199.6719	6494.5781	6774.1406	33.7821	39.2500
0.2984	13389.1816	399.3594	519.1719	554.1094	594.0469	479.2344	119.8125	6524.5469	6804.0938	34.0000	39.7143
0.4508	25.2086	414.3281	534.1406	589.0469	604.0312	499.2031	109.8125	6559.4844	6829.0625	27.0000	41.2500
0.6032	41.2487	439.2969	564.0938	594.0469	614.0156	514.1719	104.8281	6584.4531	6854.0156	31.0000	36.5000
0.7556	41.5692	459.2656	579.0781	609.0312	633.9844	549.1250	109.8281	6614.4062	6878.9688	28.0000	42.2857
0.9080	42.8615	474.2344	589.0469	624.0000	653.9531	564.0938	104.8281	6644.3594	6898.9531	33.6613	42.4000
1.0604	42.2094	499.2031	604.0312	643.9688	668.9375	574.0781	104.8281	6654.3438	6913.9219	29.1565	36.6667
1.2128	36.0943	519.1719	619.0156	653.9531	683.9062	579.0781	124.7969	6654.3438	6908.9375	28.0000	42.4286
1.3652	31.8937	524.1562	629.0000	668.9219	693.8906	594.0469	139.7812	6654.3281	6913.9219	25.0000	37.0000
1.5176	29.4989	544.1250	658.9375	693.8750	718.8438	619.0000	164.7344	6659.3281	6913.9062	31.5016	40.6667
1.6700	27.7094	564.0938	678.9062	718.8438	738.8125	643.9531	189.6875	6659.3281	6928.8906	27.8846	41.2500
1.8224	24.7138	589.0625	698.8906	733.8281	763.7812	663.9375	209.6719	6664.3125	7458.0469	29.6837	42.0000
1.9748	22.0356	609.0312	718.8594	758.7969	783.7500	688.9062	234.6250	6659.3281	7453.0625	33.0962	38.4286
2.1272	20.3204	633.9844	743.8125	778.7656	803.7188	708.8750	254.5938	6664.3281	7428.0938	28.0000	40.5714
2.2796	18.7880	648.9531	758.7812	793.7188	818.6875	723.8438	279.5469	6664.3281	7418.1094	29.0000	38.5714
2.4320	17.4177	648.9688	753.7969	788.7344	813.7031	718.8594	274.5625	6669.3125	7413.1250	29.0000	43.0000
2.5844	16.3768	638.9688	748.7969	788.7344	813.6875	718.8438	274.5625	6674.2969	7398.1406	24.0000	38.2857
2.7368	16.5749	638.9844	743.8125	783.7500	813.7031	713.8594	269.5625	6679.2969	7388.1719	27.0000	40.8750
2.8892	16.3780	638.9844	748.7969	788.7344	823.6875	713.8594	284.5469	7203.4688	7358.2188	27.8946	31.3540
3.0416	16.1834	633.9844	748.8125	793.7344	823.6875	708.8750	279.5625	7198.4688	7358.2188	24.0000	31.8000
3.1940	16.6758	633.9844	758.7969	798.7188	818.6875	713.8594	274.5625	7198.4531	7353.2188	0.0000	35.5000
3.3464	16.8812	633.9844	758.7812	788.7344	808.7031	718.8438	264.5781	7188.4688	7348.2188	29.0000	42.1667
3.4988	16.8812	629.0000	748.7969	778.7500	798.7188	718.8594	264.5781	7178.5000	7328.2500	29.0000	47.0000
3.6512	16.8812	638.9844	743.8125	773.7656	798.7188	713.8594	264.5781	7173.5000	7313.2812	15.9038	45.5000
3.8036	17.0918	643.9688	733.8125	768.7656	793.7188	708.8594	264.5625	7153.5469	7298.3125	28.0000	44.6667
3.9560	17.0387	643.9531	733.8125	768.7656	793.7188	703.8594	264.5625	7148.5469	7283.3281	33.0000	41.2000
4.1084	17.2532	619.0000	718.8438	758.7812	783.7500	683.9062	254.5938	7133.5625	7268.3438	26.0000	46.0000
4.2608	17.2532	614.0156	713.8594	753.7969	778.7500	683.9062	249.6094	7128.5781	7258.3750	28.0000	46.5000
4.4132	17.6975	619.0156	728.8438	763.7812	788.7344	693.8906	259.5938	7118.5938	7243.3906	31.0641	46.8000
4.5656	17.9305	619.0156	728.8281	763.7812	793.7344	693.8906	259.5938	7108.5938	7233.4062	33.2102	48.6667
4.7180	17.4732	619.0156	728.8281	773.7656	813.7031	693.8906	259.5938	7083.6406	7218.4375	25.8333	43.6667
4.8704	17.2532	619.0000	728.8281	788.7344	813.6875	688.8906	254.5781	7068.6719	7208.4531	25.0000	44.6667
5.0228	17.3612	619.0156	748.8125	788.7500	803.7188	693.8906	259.5938	7058.6875	7198.4688	28.3269	43.0000
5.1752	17.4732	614.0156	748.7969	773.7656	808.7031	708.8594	254.5938	7043.7031	7188.4688	29.7636	41.0000
5.3276	17.3077	614.0156	738.8125	783.7344	813.6875	713.8594	259.5781	7023.7344	7168.5000	25.0000	44.5000
5.4800	16.9846	624.0000	748.7969	788.7344	823.6719	708.8594	269.5625	7003.7656	7153.5312	31.0000	47.7500
5.6324	16.4753	643.9688	748.7969	793.7344	823.6875	708.8594	269.5781	6993.7812	7143.5469	29.8466	47.0000
5.7848	16.8812	633.9844	758.7812	798.7188	838.6562	718.8438	264.5781	6988.7969	7138.5625	26.1661	47.7500
5.9372	17.3077	633.9844	763.7812	813.7031	843.6406	723.8438	264.5781	6983.8125	7133.5781	26.0000	46.5000
6.0896	17.5277	643.9688	778.7500	818.6875	853.6250	733.8281	259.5781	6978.8125	7128.5781	31.4249	46.0000
6.2420	17.8706	648.9531	783.7344	828.6719	863.6094	743.8125	254.5938	6968.8281	7118.5938	33.0000	46.5000
6.3944	17.7548	648.9688	788.7344	833.6719	853.6406	743.8125	254.5938	6958.8438	7108.6094	33.0000	49.5000
6.5468	17.7562	658.9531	798.7188	828.6719	858.6250	753.7969	254.5938	6943.8750	7098.6250	30.0000	47.2500
6.6992	17.6405	658.9531	783.7500	828.6719	853.6406	753.7969	244.6094	6933.8906	7088.6406	28.5287	48.0000
6.8516	17.9291	658.9375	778.7500	818.6875	843.6406	743.8125	234.6250	6923.9062	7078.6562	30.0000	46.5000
7.0040	18.4109	673.9219	788.7500	823.6875	853.6406	748.8125	239.6250	6918.9062	7073.6562	21.0000	49.8000
7.1564	19.0508	683.9062	793.7188	833.6562	868.6094	758.7812	249.5938	6893.9531	7053.6875	28.3949	46.7500
7.3088	17.8125	678.9062	798.7188	843.6406	873.5938	758.7812	269.5625	6868.9844	7028.7344	27.0543	49.5000
7.4612	16.6252	693.8906	813.7031	853.6406	883.5938	768.7656	279.5625	6859.0000	7023.7344	29.0000	52.0000
7.6136	16.8294	693.8906	818.6875	858.6250	888.5781	778.7500	274.5625	6854.0156	7028.7344	22.9038	50.7500
