HOLE:	1249A
LEG:	204
TOP:	0.0241
BOTTOM:	90.1839
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
0.0241	0.2897	0.2881	0.2646	0.2924	0.3886
0.0546	0.3171	0.2608	0.2881	0.2837	0.4083
0.0850	0.2983	0.2909	0.2951	0.2629	0.4195
0.1155	0.2998	0.2966	0.2650	0.2943	0.4290
0.1460	0.3163	0.2652	0.2923	0.2174	0.4316
0.1765	0.2911	0.2844	0.2811	0.2974	0.4342
0.2070	0.3056	0.3017	0.2851	0.3259	0.4372
0.2374	0.2831	0.2659	0.2823	0.3783	0.4403
0.2679	0.3006	0.3054	0.2551	0.2979	0.4435
0.2984	0.3135	0.2717	0.2782	0.3298	0.4471
0.3289	0.3029	0.3013	0.5000	0.2998	0.4525
0.3594	0.3504	0.3083	0.4525	0.3043	0.4579
0.3898	0.3554	0.3068	0.2930	0.3931	0.4506
0.4203	0.3589	0.3140	0.3485	0.3862	0.4384
0.4508	0.3560	0.5702	0.3886	0.4250	0.4267
0.4813	0.4338	0.4972	0.3947	0.3649	0.4259
0.5118	0.4213	0.3515	0.4164	0.4703	0.4689
0.5422	0.4670	0.3869	0.4265	0.4188	0.5190
0.5727	0.4597	0.4145	0.3987	0.5754	0.5139
0.6032	0.3457	0.4141	0.4496	0.4765	0.4860
0.6337	0.5784	0.4701	0.4335	0.5320	0.4650
0.6642	0.5214	0.4845	0.5260	0.4830	0.4625
0.6946	0.4310	0.4507	0.4820	0.6911	0.4600
0.7251	0.5004	0.4964	0.5309	0.6588	0.5025
0.7556	0.4718	0.5447	0.5003	0.6350	0.5435
0.7861	0.4693	0.6122	0.4858	0.5309	0.5475
0.8166	0.5788	0.5874	0.5939	0.6297	0.5516
0.8470	0.5638	0.6827	0.5948	0.5095	0.5534
0.8775	0.5207	0.6313	0.5424	0.5518	0.5541
0.9080	0.6113	0.5971	0.5137	0.6457	0.5470
0.9385	0.7673	0.6988	0.5392	0.5399	0.5369
0.9690	0.7549	0.7208	0.6579	0.6146	0.5312
0.9994	0.6930	0.6716	0.4297	0.7328	0.5456
1.0299	0.8220	0.6548	0.5749	0.8404	0.6448
1.0604	0.7409	0.6592	0.5106	0.6394	0.6764
1.0909	0.6834	0.8198	0.6797	0.7985	0.5467
1.1214	0.7979	0.5557	0.7524	0.9095	0.6597
1.1518	0.8090	0.6832	0.7784	0.7742	0.5856
1.1823	0.7828	0.5891	0.7969	0.8494	0.5521
1.2128	0.8559	0.7755	0.5876	0.8993	0.6259
1.2433	0.8777	0.9150	0.8993	0.7961	0.5943
1.2738	0.9756	0.8879	0.8041	0.8534	0.6461
1.3042	0.7342	0.9210	0.7142	0.9496	0.6492
1.3347	0.8090	0.7095	0.8090	0.9388	0.7448
1.3652	0.6948	1.0426	0.7343	0.9579	0.7590
1.3957	0.9123	1.0044	0.7282	1.0545	0.7161
1.4262	1.0154	0.8605	0.5273	1.0195	0.7741
1.4566	0.9461	0.9990	0.9125	0.8978	0.7495
1.4871	1.0287	0.8648	0.9336	0.9645	0.7799
1.5176	0.7796	0.8641	1.0085	1.1784	0.7520
1.5481	1.1937	0.6330	0.8587	0.7098	0.8932
1.5786	1.0994	0.9195	0.8748	1.1216	0.8599
1.6090	0.9125	1.0830	0.9039	1.0030	0.8726
1.6395	1.0997	1.0276	0.8978	1.0238	0.8311
1.6700	1.0532	1.1020	0.8655	0.8751	0.7639
1.7005	1.0286	1.0742	0.8687	1.0596	0.7832
1.7310	0.6773	1.0452	0.9077	1.3380	0.8891
1.7614	1.0829	1.0600	1.0229	0.9533	0.7740
1.7919	1.1120	0.9184	0.9828	0.9786	1.0633
1.8224	1.0922	1.0212	0.8154	1.1624	1.0144
1.8529	1.1174	1.0263	0.9003	0.9902	1.0442
1.8834	0.9968	1.1156	0.6737	1.2540	0.8157
1.9138	1.0347	1.0481	0.8272	0.6948	1.0654
1.9443	1.0742	0.9304	0.8899	1.2892	1.0727
1.9748	1.0196	0.9929	0.8500	1.0334	1.0719
2.0053	1.1474	0.7785	0.8770	1.2141	1.0050
2.0358	1.1570	0.9978	0.9105	1.0270	1.0040
2.0662	1.2375	1.0070	0.9567	1.0295	0.8214
2.0967	1.0408	0.9489	0.8554	1.1406	1.1740
2.1272	0.9432	1.0099	0.9065	1.0238	1.1522
2.1577	1.1398	1.0443	0.9612	1.0486	1.1595
2.1882	0.7722	1.0022	0.9325	1.2161	1.1903
2.2186	0.9910	0.8992	0.8809	1.1202	1.0622
2.2491	0.9825	0.9481	0.8392	1.3254	1.2064
2.2796	0.9965	0.9285	0.8898	1.1318	0.8132
2.3101	1.0365	0.9484	0.8820	0.7406	1.2175
2.3406	1.0126	0.9610	0.8862	0.9062	1.2957
2.3710	1.1299	0.9747	0.8336	0.9500	1.3741
2.4015	0.9573	0.9755	0.7895	1.1006	1.1964
2.4320	1.0032	0.9698	0.8348	0.9642	1.4029
2.4625	1.0021	0.9519	0.8421	1.1015	1.3706
2.4930	1.0107	0.9645	0.7954	1.1117	1.3394
2.5234	0.9936	0.9269	0.9426	1.1236	1.4100
2.5539	0.9946	0.9240	0.8532	1.2003	1.4271
2.5844	1.0180	0.9451	0.9195	1.1388	1.4356
2.6149	0.9908	0.8770	0.7774	1.3734	1.3642
2.6454	1.1062	1.0043	0.7782	1.3938	1.4202
2.6758	1.1026	0.9824	0.7680	1.5887	1.5290
2.7063	1.1796	0.9684	0.7439	1.4077	1.5034
2.7368	1.2612	0.9170	0.7842	1.7635	1.4864
2.7673	1.1137	1.1209	1.0447	1.5732	1.3704
2.7978	1.4611	0.9484	1.8006	1.9758	1.5584
2.8282	1.1875	1.1393	1.3658	2.0764	1.6506
2.8587	1.6433	1.4681	1.6820	2.0919	1.6307
2.8892	1.7803	1.8436	1.6739	2.4305	1.6347
2.9197	1.7236	3.4223	1.4466	2.1182	1.4662
2.9502	1.8639	2.2584	1.2326	2.4794	1.7879
2.9806	1.4637	3.2155	2.1304	2.2762	1.5121
3.0111	2.4066	3.2480	1.9362	2.0451	1.5165
3.0416	2.9234	2.9904	2.1792	3.6999	1.9562
3.0721	3.3414	1.6911	2.3484	3.7242	1.8846
3.1026	4.4857	3.6013	2.3661	3.9133	1.5976
3.1330	4.0940	3.1817	2.4372	2.5961	1.8698
3.1635	4.8444	3.8922	2.3879	4.2559	2.1406
3.1940	4.4440	3.9959	2.2511	4.3530	1.6019
3.2245	3.7590	4.1573	2.5840	4.4280	2.0085
3.2550	4.0038	4.2356	2.2176	4.2036	2.3789
3.2854	4.9034	4.3407	2.1818	4.6300	2.2038
3.3159	4.6057	4.4309	1.7903	5.3071	2.2106
3.3464	4.7805	4.9626	1.8653	5.4416	2.4854
3.3769	5.2957	4.2101	1.9292	4.9695	2.0934
3.4074	5.0454	4.0207	2.2420	4.5622	2.3990
3.4378	4.8760	2.5403	2.8847	4.9667	2.5868
3.4683	4.9844	2.4459	2.7848	4.8274	2.7080
3.4988	5.1485	3.5103	2.8963	5.3416	2.7030
3.5293	5.5287	4.0904	3.3057	5.2202	2.7504
3.5598	5.5399	4.7435	2.5737	5.6517	3.0406
3.5902	5.3549	4.8819	3.3755	5.6063	2.5396
3.6207	3.2670	5.2100	3.2957	6.8045	2.7941
3.6512	3.1399	4.7908	3.4539	5.4786	3.2240
3.6817	4.7643	4.7666	2.8914	6.0859	2.4417
3.7122	4.8492	4.8530	2.3978	5.3333	3.6302
3.7426	4.6679	5.0797	2.6458	5.4518	3.3623
3.7731	5.7242	5.6137	2.5471	5.0779	3.4796
3.8036	4.9268	4.5596	2.1382	3.4744	3.2519
3.8341	5.0271	3.7947	2.1807	5.0490	3.5824
3.8646	4.7950	5.0082	2.0099	5.2397	3.8947
3.8950	4.9028	5.1162	2.6808	5.4920	3.6432
3.9255	5.7129	4.6968	2.7431	5.7869	3.5967
3.9560	5.2748	4.6752	2.8971	5.7686	3.4137
3.9865	5.6321	5.7149	2.7330	6.2681	3.4911
4.0170	5.0874	5.2907	3.3182	5.9144	3.6620
4.0474	5.6803	4.8406	2.7358	5.7746	2.4566
4.0779	5.0602	5.0437	3.1114	5.7871	4.1397
4.1084	4.7772	4.6881	3.1862	5.7121	3.9664
4.1389	4.7603	5.0181	3.0913	5.3510	4.0657
4.1694	4.9205	4.3309	2.9942	4.9553	4.2053
