HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	63.0872
DEPTH_LSF	TNPH
m	%
0.1460	74.1548
0.2984	71.3903
0.4508	72.6302
0.6032	75.1255
0.7556	76.0911
0.9080	72.7699
1.0604	68.6864
1.2128	67.7609
1.3652	68.6177
1.5176	74.9419
1.6700	70.6645
1.8224	66.8363
1.9748	58.1329
2.1272	60.9461
2.2796	59.2438
2.4320	62.9684
2.5844	63.5417
2.7368	69.7489
2.8892	68.8891
3.0416	67.6671
3.1940	67.8996
3.3464	69.0758
3.4988	65.9327
3.6512	60.2005
3.8036	57.9492
3.9560	62.0510
4.1084	71.5426
4.2608	71.9041
4.4132	67.3520
4.5656	60.5327
4.7180	64.0921
4.8704	66.7109
5.0228	69.3714
5.1752	68.8577
5.3276	66.2564
5.4800	68.8425
5.6324	73.3006
5.7848	72.2823
5.9372	64.7732
6.0896	59.9125
6.2420	62.8148
6.3944	70.1643
6.5468	79.7369
6.6992	75.4807
6.8516	69.0863
7.0040	67.0919
7.1564	68.2892
7.3088	64.6247
7.4612	63.0560
7.6136	66.3107
7.7660	72.6607
7.9184	69.8498
8.0708	67.2312
8.2232	65.6390
8.3756	64.1384
8.5280	63.8159
8.6804	65.9911
8.8328	65.7321
8.9852	69.0187
9.1376	71.5438
9.2900	73.5389
9.4424	69.5325
9.5948	64.8944
9.7472	67.1675
9.8996	71.4233
10.0520	75.7322
10.2044	77.0453
10.3568	75.7590
10.5092	73.5108
10.6616	66.5875
10.8140	67.5709
10.9664	65.5730
11.1188	63.4252
11.2712	61.1544
11.4236	57.9529
11.5760	60.2113
11.7284	60.0909
11.8808	66.2151
12.0332	69.4847
12.1856	69.0446
12.3380	65.4130
12.4904	64.2598
12.6428	69.7229
12.7952	75.7808
12.9476	80.0667
13.1000	77.6169
13.2524	77.8525
13.4048	73.5528
13.5572	72.3310
13.7096	70.7946
13.8620	65.5155
14.0144	65.4099
14.1668	63.4940
14.3192	68.5275
14.4716	65.0923
14.6240	66.5519
14.7764	66.1392
14.9288	70.1392
15.0812	72.2122
15.2336	77.8112
15.3860	75.3545
15.5384	68.6821
15.6908	61.5910
15.8432	61.9608
15.9956	67.0881
16.1480	67.5561
16.3004	69.9418
16.4528	68.8643
16.6052	68.1313
16.7576	67.7951
16.9100	65.9383
17.0624	71.1015
17.2148	68.5665
17.3672	68.3863
17.5196	64.6926
17.6720	68.6138
17.8244	64.4267
17.9768	65.0130
18.1292	56.6057
18.2816	61.2656
18.4340	58.3748
18.5864	61.5160
18.7388	58.8295
18.8912	62.3793
19.0436	61.0387
19.1960	63.1540
19.3484	62.8376
19.5008	68.7507
19.6532	63.1494
19.8056	60.9344
19.9580	59.9073
20.1104	59.0394
20.2628	59.1808
20.4152	58.4499
20.5676	67.4502
20.7200	67.3382
20.8724	66.1175
21.0248	58.7276
21.1772	59.5176
21.3296	58.2626
21.4820	58.8438
21.6344	59.5073
21.7868	64.7674
21.9392	68.6895
22.0916	74.9898
22.2440	67.0977
22.3964	62.5503
22.5488	60.7016
22.7012	65.3818
22.8536	66.6939
23.0060	63.0462
23.1584	58.8264
23.3108	58.1030
23.4632	60.7088
23.6156	66.3342
23.7680	72.3076
23.9204	67.2364
24.0728	57.2485
24.2252	58.9928
24.3776	61.9316
24.5300	72.8017
24.6824	68.0101
24.8348	67.4663
24.9872	63.9645
25.1396	65.8229
25.2920	65.0302
25.4444	72.4461
25.5968	68.5750
25.7492	69.5006
25.9016	65.9195
26.0540	71.0517
26.2064	72.9473
26.3588	66.7508
26.5112	65.1459
26.6636	64.6501
26.8160	67.4832
26.9684	66.2435
27.1208	65.3882
27.2732	69.1841
27.4256	69.6516
27.5780	69.8405
27.7304	68.0478
27.8828	66.8565
28.0352	65.9928
28.1876	63.9508
28.3400	61.7152
28.4924	62.9533
28.6448	65.3627
28.7972	75.7972
28.9496	74.5825
29.1020	68.0620
